File,ground_truth,Ourmodel,Original_ID
02000100001_chunk_083.wav,जिस लीची के बाग को हम छह लाख सात लाख में बेचते थे उसको एक समय आया जब बत्तीस लाख तक हमने पहुंचा दिया और यह सिर्फ माइक्रो इरीगेशन के बदौलत था,जिस लीची के बाग को हम छह लाख सात लाख में बेचते थे उसको एक समय आया जब बत्तीस लाख तक हमने पहुंचा दिया और ये सिर्फ माइक्रो,10
02000100001_chunk_083.wav,जिस लीची के बाग को हम छह लाख सात लाख में बेचते थे उसको एक समय आया जब बत्तीस लाख तक हमने पहुंचा दिया और यह सिर्फ माइक्रो इरीगेशन के बदौलत था,इरिगेशन की बदौलत था,10
02000100001_chunk_089.wav,डिपेंडिंग उपों डिस्टेंस पाइप का डायमीटर चेंज,डिपेंडिंग अपान डिस्टेंस पाइप का डायोमीटर चेंज है,11
02000100001_chunk_122.wav,और बाकी कोई चीज में नही देना है है,और बाकी कोई चीज में नहीं देना है,12
02000100001_chunk_160.wav,डी बोरवेल पम्प जिसमें,डी बोरवेल पंप जिसमें,13
02000100001_chunk_175.wav,और उसको एडवांस में पर्चेज करते रखना सो थाट की पीक सीजन में अगर कोई भी मुसीबत आए मशीन में तो उसका क्रिटिकल स्पेयर पार्ट्स हमारे पास रहना चाहिए क्योंकि यहां रिपेयर भी हम लोग खुद,और उसको एडवांस मे पर्चेज करके रखना सोदैट की पीक सीजन में अगर कोई भी मोसीबत आए मशीन में तो उसका क्रिटिकल स्पेरपाटस हमारे पास रहना चाहिए क्योंकि,14
02000100001_chunk_175.wav,और उसको एडवांस में पर्चेज करते रखना सो थाट की पीक सीजन में अगर कोई भी मुसीबत आए मशीन में तो उसका क्रिटिकल स्पेयर पार्ट्स हमारे पास रहना चाहिए क्योंकि यहां रिपेयर भी हम लोग खुद,यहां रिपेयर भी हम लोग कोत हैं,14
02000100001_chunk_212.wav,क्योंकि उससे हमको प्रीमियम चाहिए,क्योंकि उससे हमको प्रीमियम चाहिए,15
02000100001_chunk_217.wav,बैंगलोर भेजे हैं और,बैललोर भेजे हैं और,16
02000100001_chunk_287.wav,और तीसरा,और तीसरा,17
02000100001_chunk_299.wav,इनकम हो सकता है,इनकम हो सकता है,18
02000100001_chunk_307.wav,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इस वीडियो को करें लाइक चैनल को सब्सक्राइब और देखते रहिये ये हेलो किसान,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इस वीडियो को करें लाइव चैनल को सब्सक्राइब और देखते रहिए हेलो किसान,19
02000210001_chunk_018.wav,कृषक जगत की ओर से किसान चैनल की ओर से किसान,कृषक जगत की ओर से किसान चैनल की ओर से किसान,20
02000210001_chunk_026.wav,सभी जगह पर बारिश के मौसम में जब नए पशु बाल अवस्था में जब पैदा हो ते हैं,सभी जगह पर बारिश के फोफन में जब नए पशु बाल अवस्था में जब पैदा होते हैं,21
02000210001_chunk_034.wav,आपके लेख कृषक जगत में दूरदर्शन में आकाशवाणी में और अन्य,आपके काफी लेख दूषक जगत में दूरदर्शन में आकाशवाणी में और ्य,22
02000210001_chunk_038.wav,और काफी हिनदी प्रदेशों में भी देखा जा रहा है,और काफी हिंदी प्रदेशों में भी देखा जा रहा है,23
02000210001_chunk_042.wav,हम आपसे डक्टर साहब के लेक्चर के बाद प्रश्नोत्तरी कार्यक्रम के जब आप अपनी समस्याएं डॉक्टर साथ से पूछ सकेंगे,हम आपसे डॉक्साब के लेक्चर के बाद प्रश्नोत्तरी कार्यक्रम के जब आप अपनी समस्याएं डॉक्टर िसाब से पूछ सकेंगे,24
02000210001_chunk_050.wav,किसान भाइयों पशु पालक भाइयों सभी जो दर्शक जो मुझसे जुड़े हुए हैं,किसान भाइयों पशुपालक भाइयों सभी जो दर्शक जो मुझसे जुड़े हुए हैं,25
02000210001_chunk_052.wav,इस माध्यम के जरिेये जो वैज्ञानिक जानकारिया हैं आधुनिक जानकारियाँ हैं उसे पशुपालकों और किसानों को दोचार कराना,इस माध्यम के जरिए जो वैज्ञानिक जानकारियां हैं आधुनिक जानकारियां हैं उससे पशुपालकों और किसानों को दोचार कराना,26
02000210001_chunk_068.wav,जैसा कि सचिन भाई ने बताया कि यदि नवजात शिशु आज नहीं होंगे या हम उनको जिंदा नहीं रख पाएंगे तो कल के,जैसा कि सचिन भाई ने बताया कि यदि नौजात शिशु आज से नहीं होंगे या हम उनको जिंदा नहीं रख पाएंगे तो कल के,27
02000210001_chunk_075.wav,सबसे पहले जो आप स्लाइड देखेंगे मैं स्क्रिन सेयर कर रहा हु उसमें आपको नजर आएगा,सबसे पहले जो आप स्लाइड देखेंगे मैं क स्क्रीन शेयर कर रहा हूँ उसमें आपको नजर आएगा,28
02000210001_chunk_079.wav,पालन का काम म कर रहा है खासतौर से भैसों में नौवजात पशुओं की मृत्यु के अवसर बहुत ज्यादा होते हैं,पालन का काम कर रहा है खास तौर से भैसओं में नौजात पशुओं की मृत्यु के अवसर बहुत ज्यादा होते हैं,29
02000210001_chunk_083.wav,एक के बाद एक म चर्चा करें कि कयों ऐसा होता है सबसे पहले हम बात कहते हैं कि भैसों की स्थिति क्या है,एक के बाद एक हम चर्चा करें कि च्यों ऐसा होता है सबसे पहले हम बात करते हैं कि भैसों की स्थिति क्या है,30
02000210001_chunk_092.wav,हम भैसों हम और भैसों की संख्या में पूरे विश्व में प्राथमिक है और ये पहला पायदान यही ज्याद कर क्षमता नहीं है,ह भैसो और भैसों की संख्या में पूरे विश्व में प्रथम है कोई ये पहला पायतान यहीं जाकर क्षमता नहीं है,31
02000210001_chunk_093.wav,हम दुग्ध उत्पादन में भी पहले नंबर पर हैं पूरे विश्व में भारत श्वेक्रांति के जो पताका है उसको ठहरा रहा है,हम दु्ध उत्पादन में भी पहले नंबर पर हैं पूरे विश्व में भारत ेक क्रांति की जो पताका है उसको फहरा रहा है,32
02000210001_chunk_096.wav,भारत में पूरे मूल्क में प्रतिशत से ज्यादा हिस्सा भैसों के जरिए आता है,भारत में पूरे मुल्ख में पिचपन प्रतिशत से ज्यादा हिस्सा देशों के जरिए आता है,33
02000210001_chunk_100.wav,स्थानीय हैं और वो दूध देनेवाली नसल है नही नहीं ज्यादातर मसले हमारे,स्थानीय है और वो दूध देने वाली नसले तह ही नहीं ज्यादातर नसले हमारे,34
02000210001_chunk_116.wav,स्वाद में थोड़ा सा भैसों के मुकाबले हल्का होता है लेकिन हम ये भी बात मानते हैं कि,स्वाद में थोड़ा सा प्रेशो के मुकाबले हल्का होता है लेकिन हम ये भी बात मानते हैं कि,35
02000210001_chunk_143.wav,और सबसे इंप्रूवमेंट बात तो आज हम चर्चा करने वाले हैं कि पैसों के पाड़े पाडियों में शिशुओं में बच्चो में,और सबसे इंपोर्टेंट बात तो आज हम चर्चा करने वाले हैं कि बैसों के पारे पाियों में शिशुओं में वस्तों में,36
02000210001_chunk_153.wav,हमारे मालवे ने कहावत हम मालवा में गांव में जाते हैं तो ह बात करते मालवा वासियों से,हमारे एक मालवी में कहा बचे हम मालवा में गाँव में जाते हैं तो हम बात करतेमालवा वासियों से,37
02000210001_chunk_161.wav,जो चालीस प्रतिशत जो मौतें होती हैं वो ये होत क जो भैंस से माता से जो बच्चा पल़ रहा है,जो चालीस प्रतिशत जो मौतें होती है वो ये हती कि जो फैस से माता से जो बच्चा पड़ रहा है,38
02000210001_chunk_163.wav,तो माता के शरीर से इमिनोग्लोगलिन के रूप में,तो माता के शरीर से इमिनोग्लोबलिन के रूप में,39
02000210001_chunk_164.wav,वो शिशुों में नहीं पहुंच पाती है जब शिशु पैदा होता है तो माता से जो उसे जो रेडिमेंट रेजिस्टेंस पावर मिलना चाहिए,वो शिशुओं में नहीं पहुंच पातीब जब शिशु पैदा होता है तो माता से जो उसे जो रेडीमेट रेजिस्टरेंस पावर मिलना चाहिए,40
02000210001_chunk_172.wav,हम इस आंकड़े को पच्चपन प्रतिशत से घटाकर पाच् दशमलव नो पाच पर्सेंट यानी छह पर्सेंट तक कम कर सकते हैं,हम इस आंकड़े को पचपन प्रतिशत से घटाकर पाँच दशमलव नौ पाँच परसेंट यानि छः परसेंट तक कम कर सकते हैं,41
02000210001_chunk_175.wav,सबसे पहला कारण मैंने आपको बताया था कि नवजात में,सबसे पहला कारं ट मैंने आपको बताया था कि नवजात में,42
02000210001_chunk_196.wav,जैसे ही बच्चा आप प्रसुति हो गई भैसों की खास केर के गाय मे भी आप तुरंत पहले घंटे में,ैसेी बच्चा प्सुती होगी मैं स की कापकोसे गायो के लिए आप तुरंत पहले घंटे में,43
02000210001_chunk_207.wav,जो नरवत्स होता है वो बेचारा उसको दूधी ही नहीं पिलाते है उसको उतना ही दूध पिलाते हैं कि जस उसके थन पर ले जाकर उसको छोड़ेंगे,जुंदर बस्सो होता है वो बेचा रा उसको दूरी नहीं पिलाते हैं उसको उतना ही तो पिलाते हैं कि जस उसके ठन पर ले जाएगे उसको छोड़ेंगे,44
02000210001_chunk_270.wav,उसके साथ मे ये मतलब उनको पटनी ही होगा,उसके साथ मेंलये ये मतलब उनको पटनीय होगा,45
02000210001_chunk_272.wav,तो प्रिंट मीडए जगह कोई कोई जोड़ नहीं है दूसरीे की मै ये कहा आ हमलोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा,तो प्रिं प्रिंट मीडिया का कोई कोई जोड़ नहीं है दूइसलि मे कह रा हो कि आपहमलोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा,46
02000210001_chunk_320.wav,जो तीसरे दिन हमने किया था यानी जो कि रेजीन पैरा कीं द्रव और नॉरप्रॉसिसन का एक कोर्स किया था,जो तीसरे दिन हम ने किया था यानी जो पिपरेजीन पैरातीन द्राओ और नॉर प्ॉक्ससीन का एक कोर्स किया था,47
02000210001_chunk_322.wav,अब सातवें दिन पे अब हमारे पास कोलेस्ट्रम नहीं है,अब सातवें दिन पे अब हमारे पास कॉलेस्ट्रम नहीं है,48
02000210001_chunk_330.wav,भैंसों के बच्चों में ऑक्सी डियोसिस नाम की बीमारी होती है,बैसों के बच्चों में पक्सिडियोसीसनान की बीमारी होती ै,49
02000210001_chunk_334.wav,तो तय किजिये कि जो महत्वपूर्ण महत्व का पशु है,तो त जाने कि जो महत्वपण महत्व का पशु है,50
02000210001_chunk_338.wav,इसलिए आपको इस कोर्स को करना चाहिए पशु चिकित्सक की निगरानी में करें तो बेहतर पर और mineral मिक्चर और विटामिन ए,इसलिए आपको इस कोर्स को करना चाहिए पशु चिकित्सक की निगरानी में करेंतो भेतरे परहाँ मिदरल मेस्टर और विटामिन ए,51
02000210001_chunk_339.wav,ये पशुओं को मिनरल मिक्सचर बी कॉंमप्लेक्स दे ये तो सोने में सुहागा जैसी बात होगी,ये पशुओं को मिंरल मिक्सर देै भी कॉंप्लेक्स से ती तो सोने में सुधार ा जैसी बात होगी,52
02000210001_chunk_340.wav,आप उसकी जीने के आसार को और बढ़ाते जाएंगे तो ये मैं अपना,आप उसके जीने के आसार को और बढ़ाते जाइंए तो ये मैं अपना,53
02000210001_chunk_346.wav,तो मेरा पहला प्रश्न ये है,तो मेरा पहला प्रश्न ये है,54
02000210001_chunk_352.wav,जो कृषक जगत द्वारा प्रकाशित की गई है यह हम आपको उपहार स्वरूप भेजेंगे आप अपना कमेंट बॉक्स में,डोकोशक जगत द्वारा प्रकाशित की गई है ये हम आपको पार सवरूप भेजेंगे आप उतना कमेंट बॉक्स में,55
02000210001_chunk_356.wav,सबसे पहला उत्तर,सबसे पहला उत्तर,56
02000210001_chunk_364.wav,डॉक्टर साहब या हां पर हैं जो भी आक बातें बताई गई हैं,डॉक्टर साहब यहां पर हैं जो भी आज बातें बताई गई हैं,57
02000210001_chunk_365.wav,पशुपालन से संबंधित नौव जात की डेथ रेट को रोकने से संबंध तो उसमें आप अपने प्रश्न पूछ सकते हैं,पशुपालन से संबंधित नवजात की डेथ रेट को रोकने से संबंधित तो उसमें आप अपने प्रश्न पूछ सकते हैं,58
02000210001_chunk_451.wav,जी,जी,59
02000210001_chunk_378.wav,रेखा जी आपको,रेखा जी आपको,60
02000210001_chunk_381.wav,जी कमल स्वामी जी श्रीनिवास जी ि आप भी अपना प्रश्न कर सकते हैं आपको अलाव टू टॉक कर दिया गया है,जी कमल स्वामी जी श्री निवास जी आप भी अपना प्रश्न कर सकते हैं आपको एलआउटपू टॉक कर दिया गया है,61
02000210001_chunk_385.wav,लेकिन उस टाइम में मदर बफैलों का डायट क्या होना चाहिए यह जरा विस्तृत करें,लेकिन उस टाइम में मदर बफैलों का डायट क्या होना चाहिए या जरा विस्तृत करेंगे,62
02000210001_chunk_386.wav,जी बहुत अच्छा प्रश्न है,जी बहुत अच्छा प्रश्न है,63
02000210001_chunk_398.wav,पशुपालकों में ये ये मैं हमलोग फील्ड में जाते हैं,पशु पालकों में ये है ये मैं हम लोग फील्ड में जाते हैं,64
02000210001_chunk_405.wav,और खुदा ना खास्ता अगर ही गर्भवती माता दूध भी दे रही है,और खुदाना खासता अगर ही गर्भवर्ती मात्रा दूध भी दे रही है,65
02000210001_chunk_410.wav,आपने नौवजात पशु भैस और दुग्ध उत्पादन क के साथ कितना बड़ा खिलवाड़ किया है,आपने नौ जार पशु उस भैस और दूग्ध उत्पादन केके साथ कितना बड़ा खिलवाड़ किया है,66
02000210001_chunk_433.wav,पशुपालक को सतर्क सजग और चौकस हो जाना चाहिए,पशुपालक को सतर्क सजग और चौकस हो जाना चाहिए,67
02000210001_chunk_372.wav,जी,जी,68
02000210001_chunk_465.wav,जो बिया बोलते हैं जिस पर टिक्स बोलते हैं ये हमारे डीरीपान के दीवारों की जो छोटी छोटे,यजो जो बदिया बोलते हैं जिस पो फिक्स बोलते हैं ये हमारे डेरी फार्म के दीवारों की जो छोटेछोटे,69
02000210001_chunk_466.wav,दरारें होती दाव ई से छोटी उसमें छुपके बैठती हैं और जिये जीना न या शरीर उनका प्रजनन प्रक्रिया चाली होती है,दरारी होती है डिवाइसेोती उसके छुटके बैठती है और जीजी जीशरीर कर उनका प्रजनन प्रक्रिया चालू होती है,70
02000210001_chunk_475.wav,पशु को चाटने मत दीजिए और एक आधे घंटे घंटे में पशु सुखा जाता हैं उसके बाद सारे डिक्स लाइट हो तो झड़ के मर जाते हैं,पशु को चाटने मत दीजिए और एक आधे घंटे घंटे में पशुशु जाता है तोति उसके बाद सारे एक ्लाइस होते है वो झड़के गर जाते हैं,71
02000210001_chunk_476.wav,तो साइड पर मैट्री सारी ऐसी दवाइयां आती हैं जो बाजार में मिलती हैं और,तो साइपर मेथरी बहुत सारी ऐसी दवाइयाँ आती हैं जो बाजार में मिलती हैं औ,72
02000210001_chunk_480.wav,हमारे टिक्स खत्म होई रह तो फिर बहुत सारे ऐसे इंजेक्शन आते हैं आयुर मैक्टिनग के इसके जरिए आप उन,टिक्स खतम होई नी र तो फिर बहुत सारे ऐसे इंजेक्शन ाते हैं आय मैक्टीन के इसके जरिए आप,73
02000210001_chunk_497.wav,और सिर्फ दूध से कुछ रही दूध से तो आप जो खर्चा करता है वो ही निकल पाता है,और सिर्फ दूध से कुछ री दूध से तो आप जो खर्चा करता है वोही निकल पाता है,74
02000210001_chunk_512.wav,एक तो जैसे हमारी भैंस सब आती है,एक तो जैसे हमारी बैस सब ब्याती है,75
02000210001_chunk_522.wav,तो जब सांटिफिकली के एक घंटे के भीतर खिस बच्चो को मिल जाना चाहिए के बजन का एक बड़ा दस भाग तो उस समे कया स्थिति रहा जानी चाहिए,तो जब कसाइंटिफिक लिए कहते हैं कि एक घंटे के भीतर खेस बच्चो को मिल जाना चाहिए ये बजन का एक बटा दस बाक तो उस समय क्या,76
02000210001_chunk_522.wav,तो जब सांटिफिकली के एक घंटे के भीतर खिस बच्चो को मिल जाना चाहिए के बजन का एक बड़ा दस भाग तो उस समे कया स्थिति रहा जानी चाहिए,स्थिति रेनी चाहिए,76
02000210001_chunk_535.wav,वो तो उसके बाद ख दे दूसरी चीज जैसे कि हम जानते हैं कि गाय भैस के जो बच्चे हैं,ोतो उसके बदरजी दूसरी चीज जैसे कि हम जानते हैं कि ग या भैस के जो बच्चे हैं,77
02000210001_chunk_536.wav,इसके पेट में जो कीड़ेमांके पेड से आते हैं जो बर्मश जो हैं,इसकिए पेट में जो कीड़े माके पेट से आते हैं जो बर्मस जो हैं,78
02000210001_chunk_557.wav,कि प्रेगनेंट एनिमल में वैक्सीनेशन नहीं करवाना चाहिए और या फिर जो पशु दूध दे रहे हैं उनमें वैक्सीनेशन नहीं करवाना चाहिए क्योंकि,कि प्रेगनेंट एनिमल में वैक्सीनेशन नहीं करवाना चाहिए और या फिर जो पशु दूध दे रहे हैं उनमें वैक्सीनेशन नहीं करवाना चाहिए क्योंकि,79
02000210001_chunk_566.wav,और परेशानी आ सकती है तो मना कर देते डॉक्टर इंजेक्शन लेखे जाता है तो बुला के डॉक्टर इसको नहीं लगाना यह ये प्रेग्नेंट है,और परेशानी आ सकती तो मना कर देते ं ज सी डॉक्टर इंजेक्शन निके जाता है तो मुझे डॉक् इस्कोल नहीं लगाना ये ये प्रेगनेंट है,80
02000210001_chunk_582.wav,लेकिन वो आपकी पशु को बजार आर टीका तो फर जाहिर कि दो दिन के दूध को तो अपन सहन कर सकते हैं,न वो आ आपके पशु को बचा रा है डीका तो फिर जाइ कि दो दिन कि दोसतं तो अपन सेन कर सकते हैं,81
02000210001_chunk_584.wav,मैंने पांच केस ैसे देखे हैं जो मेरे पास आए थे जिनमें ो कॉलस्ट्रम था त उन्होंने जो कॉलस्ट्रम बचा था उन्होंने बहस को ही फला दिया थ तो वो,मैंने पाँच केस ऐसे देखे हैं जो मेरे पास आए थे जिनमें जो कॉलोस्ट्रेम था तो उन्होंने जो कॉलोजसफ्रम बचा था उन्होंने बहस को ही पिला दिया था,82
02000210001_chunk_584.wav,मैंने पांच केस ैसे देखे हैं जो मेरे पास आए थे जिनमें ो कॉलस्ट्रम था त उन्होंने जो कॉलस्ट्रम बचा था उन्होंने बहस को ही फला दिया थ तो वो,तो वो,82
02000210001_chunk_598.wav,अगला प्रश्न है गणेश जी आ चुके हैं क्या,अगला प्रश्न गणेश जी आ चुके हैं क्या,83
02000210001_chunk_600.wav,और मैं बताना चाहता हूं जो सबसे पहले और सही जवाब आया था हमारे पुराने प्रश्न का जो,और मैं बताना चाहता हूँं जो सबसे पहले और सही जवाब आया था हमारे पुराने प्रश्न काज,84
02000210001_chunk_602.wav,सबसे ज्यादा बहसें पाई जाती हैं तो जिसका सही जवाब हमें दिया था खड़क सोलंकी जी ने सबसे पहले दिया था,सबसे ज़्यादा बैसें पाई जाती हैं तोजिसका सही जवाब हमें दिया था हड़क सुलंकी जी ने सबसे पहले दिया था,85
02000210001_chunk_609.wav,बारिश के समय जो सभी डेरी पालक हैं,बारिश के समय में जो सभी डेरी पालक हैं,86
02000210001_chunk_610.wav,इस समय हमारे साथ मैं काफी डेरी से जुड़े हुए लोग हैं तो मै चहता हूं कि इस प्रश्न का जवाब,इस समय हमारे साथ में काफ़ी डेरी से जुड़़े हुए लोग हैं तो मैं चाहता हूँ कि इस प्रश्न का जवाब,87
02000210001_chunk_614.wav,वेटनरी मेडिसिन यह भी दवाई से संबंधती है रोग के जहां बात है तो इसमें तकनीकी नाम भी दिे हुए हैं सभी दवाइयों के जोजो डक्टर साहब भी यहां बता रहे हैं,वेटनरी मेडिसिन ये भी दवाई से संबंधित ीनहै रूग से जहां बात है तो इसमें तकनीकी नाम भी दिए हुए हैं सभी दवाइयों के जो जो डक्षा भी,88
02000210001_chunk_614.wav,वेटनरी मेडिसिन यह भी दवाई से संबंधती है रोग के जहां बात है तो इसमें तकनीकी नाम भी दिे हुए हैं सभी दवाइयों के जोजो डक्टर साहब भी यहां बता रहे हैं,यहां बता रहे हैं,88
02000210001_chunk_619.wav,उन्हें किया गया है आप बात कर सकते हैं,उन्हें किया गया है आप बात कर सकते हैं,89
02000210001_chunk_628.wav,जी जी,जी जी,90
02000210001_chunk_642.wav,इन्होंने पूछा है कि दूध किन किन मार्केटिंग में सेल्स का रते हैं,इन्होंने पूछा है कि दूत किन किन मार्केटिंग में सेल्स करते हैं,91
02000210001_chunk_652.wav,उसका वजन क्या है शरीर का ताकि पहले ही आशा पहले से ही राशन बनाना पड़ता है उसका,उसका वजन क्या है शरीर का ताकि पैले से राशन नापहलेसे राशन बनाना पड़ता है उसका,92
02000210001_chunk_660.wav,उसका प्रो लैक हो जाता है ये कुछ हॉर्मोनल प्रॉब्लम भी हो सकते हैं अंतरत्रावी ग्रंथियों की,उसका प्रोलैकस हो जाता है ये कुछ हॉर्मोनल प्रॉब्लम भी हो सकते हैं अंतसराी ग्रंथियों की,93
02000210001_chunk_662.wav,तो इसके बहुत सारे कारण होते हैं लेकिन आपको इसका उपचार तुरंत करा लेना चाहिए,सके बहुत सारे कारण होते हैं लेकिन आपको उसका उपचार तुरंत करा लेना चाहिए,94
02000210001_chunk_664.wav,तो इसका उपचार बहुत ज्यादा कठिन नहीं है आसान है पासी के पशुचिकित्सक से संपर्क करना चाहिए और उसके कई मेडिसिनस आती हैं,तो इसका उपचार बहुत ज्यादा कठिन नहीं है आसान है पास ही के पशु चिकित्सक से संपर्क करना चाहिए और उसके कई मेडिसिनस आती हैं,95
02000210001_chunk_666.wav,आप भैस को खड़ी करें तो इस तरह से खड़ी करें गाय क ो जिसका प्रो लैप्स तो उसके अगले वाले पैर गड्ढे में रखें पीछे वाले पैरों को ऊँचा गर दें,आप मैस को खडी करें तो इस तरह से खडी करें गाय को जिसका बोले होरहा तो उसके अगले वाले पैर गड्ढे में रखे तो पीछे वाले पैरों,96
02000210001_chunk_666.wav,आप भैस को खड़ी करें तो इस तरह से खड़ी करें गाय क ो जिसका प्रो लैप्स तो उसके अगले वाले पैर गड्ढे में रखें पीछे वाले पैरों को ऊँचा गर दें,को ऊँंचा कर दे,96
02000980001_chunk_048.wav,और,और,97
02000210001_chunk_683.wav,जैसा कि किसान भाइयों,जैसा कि किसान भाइयों,98
02000210001_chunk_684.wav,कृषक जगत के फेसबुक लाइफ पर भी आज कुछ तकनीकी कारणों से हम इस कार्यक्रम को दिखानी पाएं हैं लेकिन,कृषक जगत के फेसबुक लाइव पर भी आज कुछ तकनीकी कारणों से हम इस कार्यक्रम को दिखा नहीं पाएगे लेकिन,99
02000210001_chunk_688.wav,हमारे किसान भाईयों को प्रश्नों के जवाब दे सकते हैं और मैं,हमारे किसान भाइयों को प्रश्नों के जवाब दे सकते हैं और मैं,100
02000210001_chunk_697.wav,ताकि वो उसका सही विवेचना कर पाएं सही तल से डाइग्नॉसिस कर पाएं बीमारी को उसके बाद ही दवाई दें,ताकि वो उसका सही विवेचना कर पाएं सही तरह से डाइग्नोसिस कर पाएं बीमारी को उसके बाद ही दवाई दें,101
02000210001_chunk_701.wav,उनका भी मैं बहुत बहुत आभारी हूं आप सभी का आभार सभी किसान भाइयों धन्यवाद,भी मैं बहुत बहुत आबादी हूँ आप सभी का आभार सभी किसान भाईयों धन्यवाद,102
02000210001_chunk_702.wav,हम आपके साथ फिर अगले किसी प्रोग्राम में किसी विषय को लेकर किसान सत्रो में जुट़ेगे धन्यवाद,हम आपके साथ सिल अगले किसी प्रोग्राम में किसी विषय को लेकर किसान सत्र में जुड़ेंगे धन्यवाद,103
02000220001_chunk_010.wav,अभी भी बहुत न्यू कॉन्सेप्ट है,अभी भी बहुत न्यू कॉनसेप्ट है,104
02000220001_chunk_011.wav,उस टाइम पे अपने क्यों शुरुआत की इसकी,उस टाइम पे अपने क्यों शुरूआत कीइसकी,105
02000220001_chunk_036.wav,डिस्कस फिस जो है किंग ऑफ एक्वेरियम्स माना जाता है,डिस्कस फिस जो है किंग ऑफ एक्पेरियम्स माना जाता है,106
02000220001_chunk_043.wav,अगर कोई फार्मर इसको लेकर प्रोफेशन या कुछ कमाई का दौर बनाना चाहता है तो उसके लिए,अगर कोई फार्मर इसको लेके ऐजेन प्रोफेशन या कुछ कमाई का दौर बनाना चाहता है तो उसके लिए,107
02000220001_chunk_062.wav,ये आपको,ये आपको,108
02000220001_chunk_068.wav,किस तरीके का वो होत है,किस तरीके का वो होता है,109
02000220001_chunk_076.wav,तो फाइनली अगर देखेंगे तो अगर जो सीरियस हॉबिस्ट है ये आता है डिस्केस फिश रखने के शॉक पे वो इंटरनेट मीडिया पर,तो फाइनली अगर देखेंगे तो अगर जो सीरियस हॉबेस्ट है ये आता है डिस्कस फिश रखने के शॉकपे वोइंटरनेट मीडिया पर,110
02000220001_chunk_084.wav,कभी आपको ऐसा दिक्कत हुआ या मेरे पास करोड़ों रुपये का इतना फिश है,कभी आपको ऐसा दिक्कत हुआ या मेरे पास करोड़ों रुपये का ै इतना फिश है,111
02000220001_chunk_090.wav,लेकिन हमने जबसे शुरुआत किया है ये मैं एक्स पेंड करते गया फॉर्म बढ़ाता गया लोकेशन चेंज करता गया और,लेकिन हमने जब से शुरूआत किया आइहै मैं एक्सपेंड करता गया फाॉर्म बढ़ाता गया लोकेशन चेंज करता गया,112
02000220001_chunk_100.wav,फिश अच्छे से रखना सीख जाए हेल्दी रखें तो,फिश अच्छे से रखना सीख जाए हेल्दी रखे तो,113
