filename,ground_truth,Ourmodel,Original_ID
02000060001_chunk_003,मैं राजस्थान जयपुर का हु राजस्थान रघुराज राजस्थान जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो इनका जो फॉर्मा औसत चम-चमा रहा है ये देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौण सी हो,आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौन सी है,9
02000060001_chunk_006,अब यह तकनीक क्या है यह पूरी विस्तार से रगुराजी समझाएंगे तो यह तकनीक कौनसी है इससे फायदा क्या इससे से फायदा यह है कि से बरसात से और धूप से बचाने के लिए थेली पहनाई गई है,अब ये तकनीक क्या है ये पूरी विस्तार से रगुला जी समझाएंगे तो ये तकनीक कौनसी है ऐसे फायदा क्या है इसे फायदा यह है कि इससे बरषात,10
02000060001_chunk_006,अब यह तकनीक क्या है यह पूरी विस्तार से रगुराजी समझाएंगे तो यह तकनीक कौनसी है इससे फायदा क्या इससे से फायदा यह है कि से बरसात से और धूप से बचाने के लिए थेली पहनाई गई है,से और दूफ से बचाने के लिए थेली बनाई गई है,10
02000060001_chunk_011,इस बांस के जो इस बांस के यह इस के नहीं होगा बास की जगह छिला हुआ रहता है कहीं जगह बास बहुत मतलब नकुलीदार धार रहती है बाँस की तो कहीं का क्या बैल कटने का डर रहता है तो इस तरह से अगर कोई हाथ भी लगा लेगा ना बास,इस बास के जो इस बास की जोये इस्केज नहीं होगा बास की ज छिला हुआ रहता है कहीं जब ै बास बहुतहमतलब न नकुली दार आधार रहती,11
02000060001_chunk_011,इस बांस के जो इस बांस के यह इस के नहीं होगा बास की जगह छिला हुआ रहता है कहीं जगह बास बहुत मतलब नकुलीदार धार रहती है बाँस की तो कहीं का क्या बैल कटने का डर रहता है तो इस तरह से अगर कोई हाथ भी लगा लेगा ना बास,है बांस की तो कहीं कबर क्या क्या बेल कटने का डर रहता है तो इस तरह से अगर हाभी लगा लेगा न,11
02000060001_chunk_012,तो यह देखले कोई फर्क नहीं पड़ेगा तो ये दस एकड के खेत के अन्दर रघुराज ने ये प्लानिंग लगाई है यह देख लीजिये आप बहुत ही अब उधर देख लीजिये आपको मैं दिखा देता हु आपको,तोये देख ल कोई फरक उपनी पड़ेगा तो ये दस एकर के खेत के अंदर रगुराजी ने ये प्लानिंग लगाई है ये देख लीजिए आपबहुत ही आप आप,12
02000060001_chunk_012,तो यह देखले कोई फर्क नहीं पड़ेगा तो ये दस एकड के खेत के अन्दर रघुराज ने ये प्लानिंग लगाई है यह देख लीजिये आप बहुत ही अब उधर देख लीजिये आपको मैं दिखा देता हु आपको,उधर देखोगे आपको मैं दिखा देता हूँ आपको,12
02000060001_chunk_015,अब इसके पर लौकी की फार्मिंग होगी लोकी फार्मेंग बहुत ही जबरदस्त ये बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अंदर बहुत बहुत कम जगह मिलेगी आप लोगों को ढूंढने से भी नहीं मिलेगी अब जा तो यह है कि ये जो यह रोल लाए हो यह चार इंच का रोल है,अब इसके ऊपर लौकी की फार्मिंग होगी लोकी फार्मिंग बहुत ी जबरदस्त ये बहुत शानदार प्लानिंग है औ ऐसी प्लानिंग भारत के अंदर बहुत ज्यादा बहुत कम जगह,13
02000060001_chunk_015,अब इसके पर लौकी की फार्मिंग होगी लोकी फार्मेंग बहुत ही जबरदस्त ये बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अंदर बहुत बहुत कम जगह मिलेगी आप लोगों को ढूंढने से भी नहीं मिलेगी अब जा तो यह है कि ये जो यह रोल लाए हो यह चार इंच का रोल है,मिलेगी आप लोगों दूनने से भी नहीं मिलेगी अब चा तो ये है कि ये जो ये रोल लाए ये चार इंचका रोल है,13
02000060001_chunk_016,तो अब यह देख रहो यह पन्नी है यह देख लीजिए यह चार इंच की है अब इसका जुगाड़ कैसे कर रखा है इन्होंने ये देख लीजिए यह रोल है यह रोल लगा रखा यह देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब किस तरह से बास को हम बास में यह पन्नी बना रहे है ये देख लीजिए यह फैलिया,तो अब य देख रहे हो ये पन्नी है ये देख लीजिए ये चार इंची की है अब इसका जुगाड इं कैसी क रखा है इन्होंने े देख,14
02000060001_chunk_016,तो अब यह देख रहो यह पन्नी है यह देख लीजिए यह चार इंच की है अब इसका जुगाड़ कैसे कर रखा है इन्होंने ये देख लीजिए यह रोल है यह रोल लगा रखा यह देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब किस तरह से बास को हम बास में यह पन्नी बना रहे है ये देख लीजिए यह फैलिया,लजिए ये रोल है ये रोल लगा रखा है ये देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब ये किस तरह से,14
02000060001_chunk_016,तो अब यह देख रहो यह पन्नी है यह देख लीजिए यह चार इंच की है अब इसका जुगाड़ कैसे कर रखा है इन्होंने ये देख लीजिए यह रोल है यह रोल लगा रखा यह देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब किस तरह से बास को हम बास में यह पन्नी बना रहे है ये देख लीजिए यह फैलिया,बासको म बास में ये पन्नी बना रहे है ये देख लीजिए ये फेलिया,14
02000060001_chunk_019,कोई बास अगर मान लो नखुला आ जाता है धार वगैरह तो उसे पन्नी भी फट्नेगा डर रहता है तो इसको पहनाए तो अच्छी तरह पहनाओ आराम से और रिलैक्स हो के बनाओ धीरे धीरे कोई दिक्कत नहीं,कोई बास अगर वहामें नखुला आ जाता है को धार वगैरह तो उससे पपननी भी फटनगाडर रहता है तो अगर इसको पहना है तो अच्छी तरह बहनाहो आराम,15
02000060001_chunk_019,कोई बास अगर मान लो नखुला आ जाता है धार वगैरह तो उसे पन्नी भी फट्नेगा डर रहता है तो इसको पहनाए तो अच्छी तरह पहनाओ आराम से और रिलैक्स हो के बनाओ धीरे धीरे कोई दिक्कत नहीं,से रिलेक्स हो के बनाो धीरे धीरे ह कोई दिक्कत नहीं,15
02000060001_chunk_020,हा नॉर्मल तरीके से पांच छह सेकेंड तो वैसे लगता है क्योंकि कोई बांस क्या टेढ़ा रहता है ना तो पन्नी बनाते है तो उसका धार फट़ जाता है,हाँ नॉर्मल तेरसे पांच छः सेकेंड तो वैसे लगता है हा क्योंकि कोई बास क्या होताह ट्रेडर रहता है ना तो पन्नी पराते हैं तो उसका धार ज,16
02000060001_chunk_020,हा नॉर्मल तरीके से पांच छह सेकेंड तो वैसे लगता है क्योंकि कोई बांस क्या टेढ़ा रहता है ना तो पन्नी बनाते है तो उसका धार फट़ जाता है,पड़ जाता है,16
02000060001_chunk_023,तो जुम्मन में जाएगा तो इसको भी इसको फोल्ड कर देंगे तो यह मिट्टी बिलकुल मिट्टी के अंदर नहीं रहेगा मिट्टी में नहीं रहेगा तो दीमक का खतरा बिल्कुल नहीं रहेगा बांस का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैं तो मेरे राजस्थान की कहूँगा हो सकता है आपके राज्य के अंदर भी ऐसी हालत हो किसानों की क्या है कि महंगे भाव के किसान भाईं बास लेके आते हैं और करीबिन करीबन बास के ऊपर एक या दो परसेंट ले पाते हैं और बास खराब हो जाता है या,तो जमन में जाएगा तो इसको भी इसको फॉलड कर देंगे तो ये मिट्टी बिल्कुल मिट्टी के अंदर नहें रहेगा मिट्टी मे नेरेगा तो दीमक का खतरा बिल्कुल,17
02000060001_chunk_023,तो जुम्मन में जाएगा तो इसको भी इसको फोल्ड कर देंगे तो यह मिट्टी बिलकुल मिट्टी के अंदर नहीं रहेगा मिट्टी में नहीं रहेगा तो दीमक का खतरा बिल्कुल नहीं रहेगा बांस का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैं तो मेरे राजस्थान की कहूँगा हो सकता है आपके राज्य के अंदर भी ऐसी हालत हो किसानों की क्या है कि महंगे भाव के किसान भाईं बास लेके आते हैं और करीबिन करीबन बास के ऊपर एक या दो परसेंट ले पाते हैं और बास खराब हो जाता है या,ने रेगा बास का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैंतो मेरे राजस्थान की कहूंगा हो सकता है आपका,17
02000060001_chunk_023,तो जुम्मन में जाएगा तो इसको भी इसको फोल्ड कर देंगे तो यह मिट्टी बिलकुल मिट्टी के अंदर नहीं रहेगा मिट्टी में नहीं रहेगा तो दीमक का खतरा बिल्कुल नहीं रहेगा बांस का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैं तो मेरे राजस्थान की कहूँगा हो सकता है आपके राज्य के अंदर भी ऐसी हालत हो किसानों की क्या है कि महंगे भाव के किसान भाईं बास लेके आते हैं और करीबिन करीबन बास के ऊपर एक या दो परसेंट ले पाते हैं और बास खराब हो जाता है या,राज्य के अंदर भी ऐसी हालत हो किसानों की क्याकि महंगे बाव की किसान भाई बास लेके आते हैं और करीबम करीब ब बास के ऊपर एक ा,17
02000060001_chunk_023,तो जुम्मन में जाएगा तो इसको भी इसको फोल्ड कर देंगे तो यह मिट्टी बिलकुल मिट्टी के अंदर नहीं रहेगा मिट्टी में नहीं रहेगा तो दीमक का खतरा बिल्कुल नहीं रहेगा बांस का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैं तो मेरे राजस्थान की कहूँगा हो सकता है आपके राज्य के अंदर भी ऐसी हालत हो किसानों की क्या है कि महंगे भाव के किसान भाईं बास लेके आते हैं और करीबिन करीबन बास के ऊपर एक या दो परसेंट ले पाते हैं और बास खराब हो जाता है या,दो से लेपआते हैं और बास खराब हो जाता है,17
02000060001_chunk_025,पाँच साल में होई पर पर जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पन्नी का अपन बाँस लगाए तो कितने साथ चलेगा छह महीने छह महीने चलेगा और अगर इस तकनीक से के बास को अपने काम में लें ये प्लास्टिक के जो पीवीस थेली है यह पहनाके अगर इस बास को काम में लेंगे तो ये कितने साल चलेगा चार से पांच साल चार से पाँच साल चल बिलकुल चलेगा तो ये देख लीजिये किसान भाई चार से पांच साल तक यह बास की कैपिसिटी उम्र बढ़ जाती है,जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पननी का अपन बास लगाए तो कितने सालेगा और अगर इस टकनीक से गर बास को पन काम में ले,18
02000060001_chunk_025,पाँच साल में होई पर पर जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पन्नी का अपन बाँस लगाए तो कितने साथ चलेगा छह महीने छह महीने चलेगा और अगर इस तकनीक से के बास को अपने काम में लें ये प्लास्टिक के जो पीवीस थेली है यह पहनाके अगर इस बास को काम में लेंगे तो ये कितने साल चलेगा चार से पांच साल चार से पाँच साल चल बिलकुल चलेगा तो ये देख लीजिये किसान भाई चार से पांच साल तक यह बास की कैपिसिटी उम्र बढ़ जाती है,ये प्लास्टिक की जो पीवीसीथेली है ये पहना के और इस बास को काम में लेंगे तो येकितने साल चलेगा ात ये दे लीजए मेरे किसान चार से,18
02000060001_chunk_025,पाँच साल में होई पर पर जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पन्नी का अपन बाँस लगाए तो कितने साथ चलेगा छह महीने छह महीने चलेगा और अगर इस तकनीक से के बास को अपने काम में लें ये प्लास्टिक के जो पीवीस थेली है यह पहनाके अगर इस बास को काम में लेंगे तो ये कितने साल चलेगा चार से पांच साल चार से पाँच साल चल बिलकुल चलेगा तो ये देख लीजिये किसान भाई चार से पांच साल तक यह बास की कैपिसिटी उम्र बढ़ जाती है,ांच साल तक ये बासकी कैपिसिटी उम्र बढ़ जाती है,18
02000060001_chunk_026,तो यह तकनीक क्या नाम बताया आपने रघुराज सिंह रघुराज सिंह जी बहुत तकनीक है,तो ये है तकनीकक्या नाम बता ने रुरासिंरगुरा सिंह जी की बहुत तकनीक है,19
02000060001_chunk_027,कास्ट राजपूत हो तो राजपूतों की इतनी एडवांस तकनीक से,कास्टराजपूतपतोराजपूतो क तनी तक एडवांस टकनीक सहै,20
02000060001_chunk_029,और ये लोकी लगाओ गे है न इसका वीडियो,र येलोकी लगाओग कैन इसका वीडो,21
02000060001_chunk_030,हुकमका वीडियो और बनाऊंगा आगे,कम का वीडियो और बनाऊंगा आगे,22
02000060001_chunk_031,और ये देख लीजिये बहुत तकनीक बहुत गजब की तकनीक लग रही है मतलब यह दस एकड़ का खेत है इनका करीबन करीबन समथिंग दस एकड़ का खेत है थोड़ा बहुत कम भी हो सकता है,और भी ये देख लीजिए बहुत तकनीक बहुत ही घसब की टकनेके लग रही है मतलब ये दस एकड़ का खेत है इनका करीबं करीबम समथिंग दस एकड़,23
02000060001_chunk_031,और ये देख लीजिये बहुत तकनीक बहुत गजब की तकनीक लग रही है मतलब यह दस एकड़ का खेत है इनका करीबन करीबन समथिंग दस एकड़ का खेत है थोड़ा बहुत कम भी हो सकता है,का खेत है थोड़ा बहुत कमभी हो सकता है,23
02000060001_chunk_032,एवरेज उसे बता रहा हूं मैं तो यह देख लीजिये जब बहुत ही शानदार तकनीक से ही लग रहा है मैं दूर से ऐसे तो मेरी परिस्थिति है मेरे गांव के पास में ही है,एवरेज उसे बता रहा हूँ मैं तो ये देख लीजिए बहुत ही शानदार तकनीसे यी लग रहा है मैं दूर ऐसे तो मेरी परिस्थित है मेरे गांव के,24
02000060001_chunk_032,एवरेज उसे बता रहा हूं मैं तो यह देख लीजिये जब बहुत ही शानदार तकनीक से ही लग रहा है मैं दूर से ऐसे तो मेरी परिस्थिति है मेरे गांव के पास में ही है,पास मेंी है,24
02000060001_chunk_033,तो बहुत अच्छा इनका खेती कि तकनेकि लगी हाँ आपके मन के अंदर एक और,तो बहुत ही अच्छा इनका खेत की तकनेक लगी हा आपके मन के अंदर  रै,25
02000060001_chunk_041,करीबन करीबन सात फुट ये मान लों मैं छः फिट एक रेड दो इंच कम हूँ छः एक इंच कहू में तो ये देख लीजिये सात फिट का बांँस है ये देख लो सात सवा सात फिट का उचाई है इस जिये की और जमीन की गहराई में कितना गाड़ा,करीब गर मैं सात फुट ये मानालो मैं छ फिट दएक ेट दो इंच कमू छः फिट एक इंच का ू में तो ये दे दीजए सात फिट,26
02000060001_chunk_041,करीबन करीबन सात फुट ये मान लों मैं छः फिट एक रेड दो इंच कम हूँ छः एक इंच कहू में तो ये देख लीजिये सात फिट का बांँस है ये देख लो सात सवा सात फिट का उचाई है इस जिये की और जमीन की गहराई में कितना गाड़ा,का बांस ए देो सात सवासात फुट का चाहिए इस बास की और जमीन की गर में कितना कडा ह,26
02000060001_chunk_042,तीन फिट तीन फिट जमीन की गहराई के अन्दर है मतलब टोटल बास हो गया यह दस फुट का बास हो गया यह देख लीजिये आप यह दस फूट का बांँस खड़ा करो एक बार,तीन फिट तेइम पीड आ जमीनकी गैराय के अंदर है मतलब टोटल बास हो गया ये दस फु का बास हो गया ये देख लीजिए आप ये ै,27
02000060001_chunk_042,तीन फिट तीन फिट जमीन की गहराई के अन्दर है मतलब टोटल बास हो गया यह दस फुट का बास हो गया यह देख लीजिये आप यह दस फूट का बांँस खड़ा करो एक बार,दस फुट का बासखड़ा ो रे वा,27
02000060001_chunk_043,ये देखो आप,के देखो,28
02000060001_chunk_044,यह दस फुट का बास हो गया यह देख लो,ये दस फुट का बास हो गया ये देख,29
02000060001_chunk_046,खर्चा तो है बासों का किसान अगर थोड़ा थोड़ा जो खर्चा है वो कम करेगा तभी आगे बढ़ेगा ये मानके चलो अच्छा आज दिनाक क्या है रघुराज जी,एक खर्चा ह तो है बासों का किसान अगर थोड़ा सा डा जो खर्चा है वो कम किरेगा तो भी तो आगे बढ़ेगा ये मांग के चलो अच्छाआ,30
02000060001_chunk_046,खर्चा तो है बासों का किसान अगर थोड़ा थोड़ा जो खर्चा है वो कम करेगा तभी आगे बढ़ेगा ये मानके चलो अच्छा आज दिनाक क्या है रघुराज जी,दिनां क्या ोरला,30
02000060001_chunk_047,आज दिनांक है,और दिनांक है,31
02000060001_chunk_050,तो,तो,32
02000060001_chunk_051,मतलब फरवरी के अंदर लग जाए फरवरी के एंड महीने तक लग जाएगा है ना और फिर ये फसल कब तक चलेगी,मतलब फरवरी के अंदर लग जाए एफरवी कया एंड के मीने त लग जाएगा आपका है न और फिर ये पसर कब तक चलेगा,33
02000080001_chunk_001,हैलो हैलो दोस्तों सभी को नमस्कार मेरा नाम है पंकज और स्वागत है एक बार फिर से आपका घर में चैनल में,हेलो दोस्तों सभी को नमस्कार मेरा नाम है पंकज और स्वागत है एक बार फिर से आपका घर्म ई चैनल में,34
02000080001_chunk_004,यह देखिए और एक इधर और यह छोटा सा निकल रहा है यह देखिए,और एक इधर और ये छोटा सा निकल रहा है ये देखिए ोल,35
02000080001_chunk_005,टोटल चार पौधे और निकल आए हैं दो पौधे हमने निकाल लिए थे यह पौधा केवल में छोड़ा था ये देखिए दोस्तों बीस दिन पहले जब हमने दो पौधे,चार पौधे और निकलआए हैं दो पौधे हमने निकाल लिए थे ये पौधा िर हमने छोड़ा था ये देखिए दोस्तों बीस दिन पहले जोब हमने दो पौधे,36
02000080001_chunk_006,निकाल लिए थे इतने बड़े बड़े पौधे निकाले थे तब यहां पर हमने केवल एक पौधा यह छोड़ा था और वह जो आपको वीडियो दिखा रहे हैं इसमें देखिए कितना बड़े बड़े पौधे हो गए हैं और नए पौधे निकल आए हैं तो अगर आप का पौधा जो है वह छह महीना पुराना है तो उसमें प्रप्स जल्दी निकलते रहते हैं लेकिन आप कोशिश करें कि सिंगल पौधा ही रखें तो उसकी पत्नी ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कंपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और जाड़े के मौसम हम इसको खुली धूप में रखेंगे मिक्सर होता है,निका लिए थे इतने इत े बड़े मने पौधे नि काले थे तब यहां पर हम ने के वल एक पौधा ये छोड़ा था और वो जो आपको,37
02000080001_chunk_006,निकाल लिए थे इतने बड़े बड़े पौधे निकाले थे तब यहां पर हमने केवल एक पौधा यह छोड़ा था और वह जो आपको वीडियो दिखा रहे हैं इसमें देखिए कितना बड़े बड़े पौधे हो गए हैं और नए पौधे निकल आए हैं तो अगर आप का पौधा जो है वह छह महीना पुराना है तो उसमें प्रप्स जल्दी निकलते रहते हैं लेकिन आप कोशिश करें कि सिंगल पौधा ही रखें तो उसकी पत्नी ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कंपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और जाड़े के मौसम हम इसको खुली धूप में रखेंगे मिक्सर होता है,हम वीडियो दिखा रहे है उसमें देखे कितना बड़े बड़े पौधे हो गए ै और नए पौधे निकल आए हैं तो अगर आपका पौधा जो है वो छह,37
02000080001_chunk_006,निकाल लिए थे इतने बड़े बड़े पौधे निकाले थे तब यहां पर हमने केवल एक पौधा यह छोड़ा था और वह जो आपको वीडियो दिखा रहे हैं इसमें देखिए कितना बड़े बड़े पौधे हो गए हैं और नए पौधे निकल आए हैं तो अगर आप का पौधा जो है वह छह महीना पुराना है तो उसमें प्रप्स जल्दी निकलते रहते हैं लेकिन आप कोशिश करें कि सिंगल पौधा ही रखें तो उसकी पत्नी ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कंपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और जाड़े के मौसम हम इसको खुली धूप में रखेंगे मिक्सर होता है,महीना पुराना है तो उसमें कब जल्दी जल्दी निकलते रहते हैं लेकिन आप कोश्ट करें की सिंगल पौधा ही रखखे तो उसकी पत्तिया ज्यादा मोटी होती हैं और,37
02000080001_chunk_006,निकाल लिए थे इतने बड़े बड़े पौधे निकाले थे तब यहां पर हमने केवल एक पौधा यह छोड़ा था और वह जो आपको वीडियो दिखा रहे हैं इसमें देखिए कितना बड़े बड़े पौधे हो गए हैं और नए पौधे निकल आए हैं तो अगर आप का पौधा जो है वह छह महीना पुराना है तो उसमें प्रप्स जल्दी निकलते रहते हैं लेकिन आप कोशिश करें कि सिंगल पौधा ही रखें तो उसकी पत्नी ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कंपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और जाड़े के मौसम हम इसको खुली धूप में रखेंगे मिक्सर होता है,इसमें अब हम थोड़ी सी वर्मी कमपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और प जाड़े के मौसम में हम इसको खुली धूप में रखेंगेिकर,37
02000080001_chunk_006,निकाल लिए थे इतने बड़े बड़े पौधे निकाले थे तब यहां पर हमने केवल एक पौधा यह छोड़ा था और वह जो आपको वीडियो दिखा रहे हैं इसमें देखिए कितना बड़े बड़े पौधे हो गए हैं और नए पौधे निकल आए हैं तो अगर आप का पौधा जो है वह छह महीना पुराना है तो उसमें प्रप्स जल्दी निकलते रहते हैं लेकिन आप कोशिश करें कि सिंगल पौधा ही रखें तो उसकी पत्नी ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कंपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और जाड़े के मौसम हम इसको खुली धूप में रखेंगे मिक्सर होता है,ो,37
02000080001_chunk_007,वो आप ध्यान रखें कि जब आप पहली बार तो  जब आप नए पप्स यहां से निकाल लेते हैं तो उसके बाद बहुत ही आसानी से निकाल लें ताकि उसकी सहायता से इसको काट कर निकाल लें और जो न यह पुराना पौधा होता है उसकी जड़ें होती है वह नहीं करनी चाहिए उसका सिस्टम है वह नहीं काटना चाहिए और जब जब आप निकाल लेते हैं उसके बाद जो मिक्सचर होता है उसको आप थोड़ा सा कोशिश करें कि उसमें वर्मी कंपोस्ट या कंपोस्ट खाद होती है वह ऐड कर दें और वाटरिंग आपको बहुत हल्की करनी होती है अगर आप ज्यादा वाटरिंग करेंगे तो पौधा जो है डैमेज हो जाता है इसका वीडियो हम जल्दी ही आपको देंगे,वो आप ध्यान रखें कि जब आप पहली बा तो जब आप नया पप्स से निकाल लेते हैं तो उस के बाद बहुस ही आसानी से निकालें चा,38
02000080001_chunk_007,वो आप ध्यान रखें कि जब आप पहली बार तो  जब आप नए पप्स यहां से निकाल लेते हैं तो उसके बाद बहुत ही आसानी से निकाल लें ताकि उसकी सहायता से इसको काट कर निकाल लें और जो न यह पुराना पौधा होता है उसकी जड़ें होती है वह नहीं करनी चाहिए उसका सिस्टम है वह नहीं काटना चाहिए और जब जब आप निकाल लेते हैं उसके बाद जो मिक्सचर होता है उसको आप थोड़ा सा कोशिश करें कि उसमें वर्मी कंपोस्ट या कंपोस्ट खाद होती है वह ऐड कर दें और वाटरिंग आपको बहुत हल्की करनी होती है अगर आप ज्यादा वाटरिंग करेंगे तो पौधा जो है डैमेज हो जाता है इसका वीडियो हम जल्दी ही आपको देंगे,कोसकी ायता सेै इसको काट के निकालें और जो नया ये पुराना पौधा होता है उसकी जो जड़े होती है वो नहीं कटनी चाहिए या उसका इस्टिम ज,38
