filename,ground_truth,IC,wav2vec2,Ourmodel
02000060001_chunk_006,अब यह तकनीक क्या है यह पूरी विस्तार से रगुराजी समझाएंगे तो यह तकनीक कौनसी है इससे फायदा क्या इससे से फायदा यह है कि से बरसात से और धूप से बचाने के लिए थेली पहनाई गई है,अब यह तकनीक क्या है यह पूरी विस्तार ऐसी रघुराज जी समझाएेंगे तो यह तकनीक कौन सी हैसे फायदा क्या है इससे फायदा यह है की इससे बरसात ऐसी और धुप ऐसी बचाने के लिए थैली बनाई गयी है,अब यह तकनीक क्या है ये पूरी विस्तार से रगुराजी समझाएंगे तो यह तकनीक ोंसीय ैसे फायदेक्या से फायदा यह है कि इसे बरसासे और धूप से बचाने के लिए थेली पनाई गई है,अब ये तकनीक क्या है ये पूरी विस्तार से रगुला जी समझाएंगे तो ये तकनीक कौनसी है ऐसे फायदा क्या है इसे फायदा यह है कि इससे बरषात से और दूफ से बचाने के लिए थेली बनाई गई है
02000060001_chunk_011,इस बांस के जो इस बांस के यह इस के नहीं होगा बास की जगह छिला हुआ रहता है कहीं जगह बास बहुत मतलब नकुलीदार धार रहती है बाँस की तो कहीं का क्या बैल कटने का डर रहता है तो इस तरह से अगर कोई हाथ भी लगा लेगा ना बास,इस बांस के जो इस बांस के जो स्केज नहीं होगा बांस की ज छिला हुआ रहता है कहीं जब बांस बहुत मतलब नकुलीदार धार रहती है बांस की तो कहीं क क बेल कटने का डर रहता है तो इस तरह से अगर कोई हाथ लगा लेगा ना बांस,इस बास के जो इस बास के ोयह इस्के सने होगा बास के े छिला हुआ रहता है कहीं जब बास बहोत मतब नकुलीदार आधारित यै भाँसकी तो कहीं कबर कया क्या बैल कटने का डरता है तो इस तरह से अगर कब हाथ लगानेगा न बास,इस बास के जो इस बास की जोये इस्केज नहीं होगा बास की ज छिला हुआ रहता है कहीं जब ै बास बहुतहमतलब न नकुली दार आधार रहती है बांस की तो कहीं कबर क्या क्या  बेल कटने का डर रहता है तो इस तरह से अगर हाभी लगा लेगा न
02000060001_chunk_012,तो यह देखले कोई फर्क नहीं पड़ेगा तो ये दस एकड के खेत के अन्दर रघुराज ने ये प्लानिंग लगाई है यह देख लीजिये आप बहुत ही अब उधर देख लीजिये आपको मैं दिखा देता हु आपको,यह देख लीजिय कोई फर्क नहींही पड़ेगा तो यह दस एकड़ के खेत के अन्दर रघुरा जी ने यह प्लानिंग लगाई है यह देख लीजिये आप बहुत ही आप आब उधर देखोगे आपको मैं दिखा देता हूँ आपको,इसमें तयह देखले कोई फर्क अपनी पड़ेगा तो ये दस एकटड के खेत के अन्दर रगुराज्य ने ये प्लानिंग लगाई है यह देख लीजए आप बहुत ही प अब उधर देखोगे आगों में दिखा देताो ु ापको,तोये देख ल कोई फरक उपनी पड़ेगा तो ये दस एकर के खेत के अंदर रगुराजी ने ये प्लानिंग लगाई है ये देख लीजिए आपबहुत ही आप आप उधर देखोगे आपको मैं दिखा देता हूँ आपको
02000060001_chunk_015,अब इसके पर लौकी की फार्मिंग होगी लोकी फार्मेंग बहुत ही जबरदस्त ये बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अंदर बहुत बहुत कम जगह मिलेगी आप लोगों को ढूंढने से भी नहीं मिलेगी अब जा तो यह है कि ये जो यह रोल लाए हो यह चार इंच का रोल है,अब इसके ऊपर लोकी की फार्मिंग होगी लोकी फार्मिंग बहुत जबरदस्त यह बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अन्दर बहुत कम जगह मिलेगी आप लोगों को ढूंढने से नहीं मिलेगी अब तो यह है कि य जो यह रोल आ हो यह चार इंच का रोल है,अब इसके पर लोकीकी फार्मिंग होगी लोकी फार्मेंग बहोत जबरदस्त ये बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अंदर बहुत ्यबहुत कम जगह मिलेगी आपलोगों धूंधने से बनहीं मिलेगी अब जा तो ये ह कि ये जो ये रोल लायओ यिचारइंसर रोल है,अब इसके ऊपर लौकी की फार्मिंग होगी लोकी फार्मिंग बहुत ी जबरदस्त ये बहुत शानदार प्लानिंग है औ ऐसी प्लानिंग भारत के अंदर बहुत ज्यादा बहुत कम जगह मिलेगी आप लोगों  दूनने से भी नहीं मिलेगी अब चा तो ये है कि ये जो ये रोल लाए ये चार इंचका रोल है
02000060001_chunk_016,तो अब यह देख रहो यह पन्नी है यह देख लीजिए यह चार इंच की है अब इसका जुगाड़ कैसे कर रखा है इन्होंने ये देख लीजिए यह रोल है यह रोल लगा रखा यह देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब किस तरह से बास को हम बास में यह पन्नी बना रहे है ये देख लीजिए यह फैलिया,तो अब यह देख रहे हो ये पन्नी है यह देख लीजिये यह चार इंच की है अब इसका जुगाड़ कैसे कर रखा है इन्होंने यह देख लीजिये ये रोल है यह रोल लगा रखा है यह देख लीजिये आप यह रोल देख लीजिये आप किस तरह से लगा रखा है अब यह किस तरह से बांस को हम बांस में ये पन्नी बना रहे हैं यह देख लीजिये ये फैलिया,न तो अब यह देख रहो यह पन्नी है य देखलीजे यह चार इंसीग यै अब इसका जुगाड़ कैसे कर रखा इन्होंने यह देख लीजिे यह रोल है यह रोल लगा रखा ै यह देख लीजे आपयह रोल देख लिजे किस तरह से लगा रखा है अब किस तरह से बासकोम बास में यह पन्नी बना रहे ैं यो देख लीजिए ह फैलिया,तो अब य देख रहे हो ये पन्नी है ये देख लीजिए ये चार इंची की है अब इसका जुगाड इं कैसी क रखा है इन्होंने े देख लजिए ये रोल है ये रोल लगा रखा है ये देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब ये किस तरह से बासको म बास में ये पन्नी बना रहे है ये देख लीजिए ये फेलिया
02000060001_chunk_019,कोई बास अगर मान लो नखुला आ जाता है धार वगैरह तो उसे पन्नी भी फट्नेगा डर रहता है तो इसको पहनाए तो अच्छी तरह पहनाओ आराम से और रिलैक्स हो के बनाओ धीरे धीरे कोई दिक्कत नहीं,कोई बात अगर म नखुला आ जाता है कोई धार वगैरह तो उसे पन्नी भी फटनेटर रहता है तो अगर उसको पहनाए तो अच्छी तरह पहनाओ आराम से रिलैक्स होकर पहनाओ धीरे धीरे हर कोई दिक्त नहीं,कोई बात अगर वहाने नखुला आ जाता है तो धार्मगरा तो उसे पापन्य भी फटनंगा डरक है तो इसको पहनाए त अच्छी तरह बनाओ आराम से और रिलक्ष हों के बनाओ धीरे कोई दिक्कत नहें,कोई बास अगर वहामें नखुला आ जाता है को धार वगैरह तो उससे पपननी भी फटनगाडर रहता है तो अगर इसको पहना है तो अच्छी तरह बहनाहो आराम से  रिलेक्स हो के बनाो धीरे धीरे ह  कोई दिक्कत नहीं
02000060001_chunk_020,हा नॉर्मल तरीके से पांच छह सेकेंड तो वैसे लगता है क्योंकि कोई बांस क्या टेढ़ा रहता है ना तो पन्नी बनाते है तो उसका धार फट़ जाता है,हां नॉर्मल तेजे पाँच छः सेकंड तो वैसे लगता है क्योंकि कोई बांस क्या होता है टेडर रहता है न तो पन्नी परते हैं तो उसका धारज फड़ जाता है,हां नॉर्मल तिर से पांच छह सेकेंड तों वैसे लगता है क्योंकि कोई बास क्याौता टेडर रहता न तो पन्नी पराते हैं त उसका धारज फड़जाता है,हाँ नॉर्मल तेरसे पांच छः सेकेंड तो वैसे लगता है हा क्योंकि कोई बास क्या होताह ट्रेडर रहता है ना तो पन्नी पराते हैं तो उसका धार ज पड़ जाता है
02000060001_chunk_023,तो जुम्मन में जाएगा तो इसको भी इसको फोल्ड कर देंगे तो यह मिट्टी बिलकुल मिट्टी के अंदर नहीं रहेगा मिट्टी में नहीं रहेगा तो दीमक का खतरा बिल्कुल नहीं रहेगा बांस का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैं तो मेरे राजस्थान की कहूँगा हो सकता है आपके राज्य के अंदर भी ऐसी हालत हो किसानों की क्या है कि महंगे भाव के किसान भाईं बास लेके आते हैं और करीबिन करीबन बास के ऊपर एक या दो परसेंट ले पाते हैं और बास खराब हो जाता है या,तो यह मिट्टी बिलकुल मिट्टी के अंदर नहीं रहेगा मिट्टी में नहीं रहेगा तो दीमक का खतरा बिल्कुल नहीं रहेगा बांस का और बांस की उम्र बढ़ जाएगी भारत के अंदर बहुत से ऐसे किसान मित्र है मै तो मर राजस्थान की कहूंगा हो सकता है आपका राज्य अंदर भी ऐसी हालत हो किसानों की कि महंगे भाव की किसान भाई बांस लेकर आते हैं और करीबमकरीबम बांस के ऊपर एक या दो प ले पाते हैं और बांस खराब हो जाता है,तो जुम्मन में जाएगा तो इसको भी इसको फोल्ड कर देंगे तो यह मिट्टी बिलकुल मिट्टी के अंदर नहे रहेगा मिट्टीम नेरेका त दीमक का खतरा बिल्कुल नेरेगा भांस का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैंतो मेरे राजस्थान की कहूंगा हो सकता है आपका राज्यके गे अंदर भी ऐसी ह हालत हो किसानों की क्याकि महंगे भाव की किसान भई बांस लेके आते हैं और करीबम करीबम बरबास के ऊपर एक े दोी फस ले पाते हैं और बास खराब हो जाता है या,तो जमन में जाएगा तो इसको भी इसको फॉलड कर देंगे तो ये मिट्टी बिल्कुल मिट्टी के अंदर नहें रहेगा मिट्टी मे नेरेगा तो दीमक का खतरा बिल्कुल ने रेगा बास का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैंतो मेरे राजस्थान की कहूंगा हो सकता है आपका राज्य के  अंदर भी ऐसी हालत हो किसानों की क्याकि महंगे बाव की किसान भाई बास लेके आते हैं और करीबम करीब ब बास के ऊपर एक ा दो से लेपआते हैं और बास खराब हो जाता है
02000060001_chunk_025,पाँच साल में होई पर पर जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पन्नी का अपन बाँस लगाए तो कितने साथ चलेगा छह महीने छह महीने चलेगा और अगर इस तकनीक से के बास को अपने काम में लें ये प्लास्टिक के जो पीवीस थेली है यह पहनाके अगर इस बास को काम में लेंगे तो ये कितने साल चलेगा चार से पांच साल चार से पाँच साल चल बिलकुल चलेगा तो ये देख लीजिये किसान भाई चार से पांच साल तक यह बास की कैपिसिटी उम्र बढ़ जाती है,पास में हो बार पर जैसे अगर नार्मल बांस को अगर बिना पन्नी का अप बांस लगाय तो कितने साल चलेगा छह महीने छः महीने चलेगा और अगर इस तकनीक से अगर बांस को अप काम में ले य प्लास्टिक की जो पीवीसी थैली है यह पहना के और इस बांस को काम में लेंगे तो यह कितने साल चलेगा चार से पाँच साल चार से पाँच साल चलेयएगा बिल्कुल चलेगा तो यह दे लीजिये मेरे किसाम में चार से पाँच साल तक य बांस की कैपेसिटी उम्र बढ़ जाती है,पांच सा यपास मे हओई बार पर जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पन्नी काअपनबास लगाए तो कितने साल चलेगा छैमैन सेमेने चलेगा और अगर इस तकनीक सके बास कोंअपन काम में ले ये प्लास्टिक के जो पीयूसी थेली है यह पैनाकेयर और इस बासक काम मिलेंगे तो ये कितने साल चलेगा चार से पांचाल क्या रने पांच सा ाबेगुजरहेगा त यह देलेजमर किसामूे चार से पांच साल तक यह बास की कैपिसिटी उम्र बढ़ जाती है,जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पननी का अपन बास लगाए तो कितने सालेगा और अगर इस टकनीक से गर बास को पन काम में ले ये प्लास्टिक की जो पीवीसीथेली है ये पहना के और इस बास को काम में लेंगे तो येकितने साल चलेगा ात ये दे लीजए मेरे किसान  चार से ांच साल तक ये बासकी कैपिसिटी उम्र बढ़ जाती है
02000060001_chunk_026,तो यह तकनीक क्या नाम बताया आपने रघुराज सिंह रघुराज सिंह जी बहुत तकनीक है,तो यह है तकनीक क्या नाम बताया आपने रघुराज सिंह रघुराज सिंह जी की बहुत तकनीक है,तो येह तकनीक क्या नामद्ेव न रघुराज सिंह रघुराज सिंह जी की बहुत तक नीक,तो ये है तकनीकक्या नाम बता ने रुरासिंरगुरा सिंह जी की बहुत तकनीक है
02000060001_chunk_027,कास्ट राजपूत हो तो राजपूतों की इतनी एडवांस तकनीक से,स्ट राजपूत हो आप तो राजपूत की इतनी एडवांस तकनीिक थ,काष्ट राजपूत हो तो राजपूतों क इतनी तक एडवांस तकनीक से,कास्टराजपूतपतोराजपूतो क तनी तक एडवांस टकनीक सहै
02000060001_chunk_029,और ये लोकी लगाओ गे है न इसका वीडियो,और ये लोकील हो गया भ है न इसका विडियो और,नरेब और ये लोकी लगाओ गया आपनोंके लाए हैन इसका वीडियो और,र येलोकी लगाओग कैन इसका वीडो
02000060001_chunk_030,हुकमका वीडियो और बनाऊंगा आगे,हुकुम का विडियो और बनाऊंगा आगे,र बहुक्मका वीडियो और बनाऊँगा आगे,कम का वीडियो और बनाऊंगा आगे
02000060001_chunk_031,और ये देख लीजिये बहुत तकनीक बहुत गजब की तकनीक लग रही है मतलब यह दस एकड़ का खेत है इनका करीबन करीबन समथिंग दस एकड़ का खेत है थोड़ा बहुत कम भी हो सकता है,और भी यह देख लीजिय बहुत तकनीक बहुत ही गजब की तकनीक लग रही है मतलब ये दस एकड़ का खेत है इनका करीबीबन समथिंग दस एकड़ का खेत है थोड़ा बहुत कम हो सकता है,और भी यह देकली जो बहुत तकनीक बहुत घसर की तकनेके लगरही है मतलब यह दस सएकड का खेत है इनका करीमं करीब असमतिंग दस सेकेड का खेत है थोड़ा बहुत कमझ ो सकता है,और भी ये देख लीजिए बहुत तकनीक बहुत ही घसब की टकनेके लग रही है मतलब ये दस एकड़ का खेत है इनका करीबं करीबम समथिंग दस एकड़ का खेत है थोड़ा बहुत कमभी हो सकता है
02000060001_chunk_032,एवरेज उसे बता रहा हूं मैं तो यह देख लीजिये जब बहुत ही शानदार तकनीक से ही लग रहा है मैं दूर से ऐसे तो मेरी परिस्थिति है मेरे गांव के पास में ही है,एवराेज उसे बता रहा हूं मैं तो यह देख लीजिये बहुत ही शानदार तकनीकी से ही लग रहा है मैं दूर ऐसे तो मेरी परिस्थित है मेरे गांव के पास में है,एवरेज उसे बताराओं में तो यह देख ले जब बहुत ही शानदार तकनी से ही रगराय में दूर ऐसे तो मेरी प्रसिद् है मेरे गाँव के पास महीं है,एवरेज उसे बता रहा हूँ मैं तो ये देख लीजिए बहुत ही शानदार तकनीसे यी लग रहा है मैं दूर ऐसे तो मेरी परिस्थित है मेरे गांव के पास मेंी है
02000060001_chunk_033,तो बहुत अच्छा इनका खेती कि तकनेकि लगी हाँ आपके मन के अंदर एक और,तो बहुत ही अच्छा इनका खेत की तकनीक लगी हां आपके मन के अंदर एक और,तो बहुत ही अच्छा इनका ा खेत की तकनेके लगी हाँ आपके मन के अंद्र रेक और,तो बहुत ही अच्छा इनका खेत की तकनेक लगी हा आपके मन के अंदर  रै
02000060001_chunk_041,करीबन करीबन सात फुट ये मान लों मैं छः फिट एक रेड दो इंच कम हूँ छः एक इंच कहू में तो ये देख लीजिये सात फिट का बांँस है ये देख लो सात सवा सात फिट का उचाई है इस जिये की और जमीन की गहराई में कितना गाड़ा,करीबम करीब सात फुट ये मान लो मैं छः फीट एक दो इंच क हूँ छः फीट एक इंच का हूं मैं तो यह देख लीजिए सात फीट का बांस चाहिए देखो सात सवा सात फीट का हूँ चाहिए इस बांस की और जमीन की गने में कितना गटा हु हो आपने,करीमोगर मे सातफूट ये मांगलो मैं छैफिट एक रेड दो इंश कम हूँ छैफट ए एक इंस कूं में तो ये दिली ये सातफूटका बांस ह ही दन साथ सवा सातफीट कर ऊँचाइस बात के और जमीन की गर्ों में कितना कढा हो मे,करीब गर मैं सात फुट ये मानालो मैं छ फिट दएक ेट दो इंच कमू छः फिट एक इंच का ू में तो ये दे दीजए सात फिट का बांस ए देो सात सवासात फुट का  चाहिए इस बास की और जमीन की गर में कितना कडा ह
02000060001_chunk_042,तीन फिट तीन फिट जमीन की गहराई के अन्दर है मतलब टोटल बास हो गया यह दस फुट का बास हो गया यह देख लीजिये आप यह दस फूट का बांँस खड़ा करो एक बार,तीन फीट तीन फीट आज जमीगी गहराह के अंदर है मतलब टोटल बांस हो गया ये दस फीट का बास हो गया ये देख लीजिए आप ये दस फीट का बांस खड़ा करे एक बार,तीन फिट तेम पीड़ आजमनी गैरा के अन्दर है मतलब टोटल बास हो गया यह दस फुट का बास हो गया यह देखली जाप यह है दस फूट का ा खड़ कोरएग वारी सो,तीन फिट तेइम पीड आ जमीनकी गैराय के अंदर है मतलब टोटल बास हो गया ये दस फु का बास हो गया  ये देख लीजिए आप ये ै दस फुट का बासखड़ा ो रे वा
02000060001_chunk_043,ये देखो आप,वा,की रखवा,के देखो
02000060001_chunk_044,यह दस फुट का बास हो गया यह देख लो,यह दस फिट का बांस हो गया यह देख लो,यह दस्वुत का बाँस हो गया यह देखला,ये दस फुट का बास हो गया ये देख
02000060001_chunk_046,खर्चा तो है बासों का किसान अगर थोड़ा थोड़ा जो खर्चा है वो कम करेगा तभी आगे बढ़ेगा ये मानके चलो अच्छा आज दिनाक क्या है रघुराज जी,य खर्चा तो है बांसों का किसान अगर थोड़ा थोड़ा जो खर्चा है वो कम करेगा तो भी तो आगे बढ़ेगा यह मांग के चलो अच्छा आज दिनांक क्या हो रही है और गुलाजी,ै यह खर्चाै तो है मासों का किसान अगर थोड़ा होड़ा जो खर्चा आया वो कम करेगा तो भी आगे बढ़ेगा ये मांगे चलो अा आज दिना क्या ओरियर ग्राज,एक खर्चा ह तो है बासों का किसान अगर थोड़ा सा डा जो खर्चा है वो कम किरेगा तो भी तो आगे बढ़ेगा ये मांग के चलो अच्छाआ दिनां क्या ोरला
02000060001_chunk_047,आज दिनांक है,और दिनांक है,आज दिनांक है,और दिनांक है
02000060001_chunk_050,तो,तो,ना तो,तो
02000060001_chunk_051,मतलब फरवरी के अंदर लग जाए फरवरी के एंड महीने तक लग जाएगा है ना और फिर ये फसल कब तक चलेगी,मतलब फरवरी के अंदर लग जाएगा फरवरी के एण्ड के महीने तक लग जाएगा आपका है ना और फिर यह फसल कब तक चलेगी,मलब फरवरी का अंदर लग जाए एफर्विका एंड की मने तक लग रागा पा हैना और फिर य पर सरकरतक चलगया,मतलब फरवरी के अंदर लग जाए एफरवी कया एंड के मीने त लग जाएगा आपका है न और फिर ये पसर कब तक चलेगा
02000080001_chunk_001,हैलो हैलो दोस्तों सभी को नमस्कार मेरा नाम है पंकज और स्वागत है एक बार फिर से आपका घर में चैनल में,हैेलो दोस्तों सभी को नमस्कार मेरा नाम है पंकज और स्वागत है एक बार फिर से आपका घरमहू चैनल में,हाले दोस्तों सभी को नमस्कार मेरा नामें पंकज और स्वागत थै एक बार फिर से आपका घर्मविचर मै दो,हेलो दोस्तों सभी को नमस्कार मेरा नाम है पंकज और स्वागत है एक बार फिर से आपका घर्म ई चैनल में
02000080001_chunk_004,यह देखिए और एक इधर और यह छोटा सा निकल रहा है यह देखिए,और एक इधर और यह छोटा सा निकाल रहा है यह देखिये,िे और एक इधर और यह छोटा सा निकल रहा है ये देखिए टोटल,और एक इधर और ये छोटा सा निकल रहा है ये देखिए ोल
02000080001_chunk_005,टोटल चार पौधे और निकल आए हैं दो पौधे हमने निकाल लिए थे यह पौधा केवल में छोड़ा था ये देखिए दोस्तों बीस दिन पहले जब हमने दो पौधे,चार पौधे और निकाल आये है दो पौधे हमने निकाल लिए थे यह पौधा की हमने छोड़ा था एक यह देखिये दोस्तों बीस दिन पहले जब हमने दो पौधे,ार पौधे और निकल आए हैं दो पौधे हमने निकाल िए थे ये पौधा क्यवोर्हम ने छोड़ा था ये देखिे दोस्तों बीस दिन पहले जब हमने दो पौधें,चार पौधे और निकलआए हैं दो पौधे हमने निकाल लिए थे ये पौधा िर हमने छोड़ा था ये देखिए दोस्तों बीस दिन पहले जोब हमने दो पौधे
02000080001_chunk_006,निकाल लिए थे इतने बड़े बड़े पौधे निकाले थे तब यहां पर हमने केवल एक पौधा यह छोड़ा था और वह जो आपको वीडियो दिखा रहे हैं इसमें देखिए कितना बड़े बड़े पौधे हो गए हैं और नए पौधे निकल आए हैं तो अगर आप का पौधा जो है वह छह महीना पुराना है तो उसमें प्रप्स जल्दी निकलते रहते हैं लेकिन आप कोशिश करें कि सिंगल पौधा ही रखें तो उसकी पत्नी ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कंपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और जाड़े के मौसम हम इसको खुली धूप में रखेंगे मिक्सर होता है,निकाल लिएिये थे इतने इतने बड़े बड़े पौधे निकाले थे तब यहाँ पर हमने केवल एक पौधा यह छोड़ा था और वो जो आपको हम वीडियो दिखा रहे है उसमे देखे कितना बड़े बड़े पौधे हो गये है और नएे पौधे निकाल आये है तो अगर आपका पौधा जो है वो छह महीिना पुराना है तो उसमें पप्स जल्दी जल्दी निकलते रहते है लेकिन आप कोशिश करे की सिंगल पौधा ही रखे तो उसकी पत्तियाँ ज्यादा मोटी होती है और इसमें अब हम थोड़ी सी वर्मी कम्पोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और अब जाड़े के मौसम में हम इसको खुली धूप में रखेंगे मिक्सर होता है,े निकाल लिए थे इतने तने बड़ेऩे पौधे निकाले थे तब यहां पर हमने केवल एक पौधा ये छोड़ा था और वो जो आपको म वीडियो दिखा रहे हैं उसमें देखे कितना बड़ेबड़े पौधे हो गए हैं और नए पौधे निकलाए हैं तो अगर आपका पौधा जो है वो छह महीना पुराना है तो उसमें प्रप्स जल्दी यल्दी निकलते रहते हैं लेकिन आप कोशिश करें कि सिंगल पौधा ही रखें तो उसकी पत्तियां ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कंपोस्ट एड कर देंगे उसके बाद हल्की वॉटरिंग कर देंगे और अब जाड़े के मौसम में हम इसको खुली धूप में रखेंगेमिक्सर होता है,निका लिए थे इतने इत े बड़े मने पौधे नि काले थे तब यहां पर हम ने के वल एक पौधा ये छोड़ा था और वो जो आपको हम वीडियो दिखा रहे है उसमें देखे कितना बड़े बड़े पौधे हो गए ै और नए पौधे निकल आए हैं तो अगर आपका पौधा जो है वो छह महीना पुराना है तो उसमें कब जल्दी जल्दी निकलते रहते हैं लेकिन आप कोश्ट करें की सिंगल पौधा ही रखखे तो उसकी पत्तिया ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कमपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और प जाड़े के मौसम में हम इसको खुली धूप में रखेंगेिकर ो
