Hypothesis,Ground Truth,Response
करीब गर मैं सात फुट ये मानालो मैं छ फिट दएक ेट दो इंच कमू छः फिट एक इंच का ू में तो ये दे दीजए सात फिट का बांस ए देो सात सवासात फुट का चाहिए इस बास की और जमीन की गर में कितना कडा ह,करीबन करीबन सात फुट ये मान लों मैं छः फिट एक रेड दो इंच कम हूँ छः एक इंच कहू में तो ये देख लीजिये सात फिट का बांँस है ये देख लो सात सवा सात फिट का उचाई है इस जिये की और जमीन की गहराई में कितना गाड़ा,करीब गर मैं सात फुट ये मान लो मैं छ फुट एक दो इंच कम हूं छः फुट एक इंच का हूं तो ये दे दीजिए सात फुट का बांस चाहिए इस बांस की और जमीन की गर में कितना कड़ा है।
तीन फिट तेइम पीड आ जमीनकी गैराय के अंदर है मतलब टोटल बास हो गया ये दस फु का बास हो गया ये देख लीजिए आप ये ै दस फुट का बासखड़ा ो रे वा,तीन फिट तीन फिट जमीन की गहराई के अन्दर है मतलब टोटल बास हो गया यह दस फुट का बास हो गया यह देख लीजिये आप यह दस फूट का बांँस खड़ा करो एक बार,तीन फीट तैम पीड़ आ जमीन की गैराई के अंदर है मतलब टोटल बस हो गया ये दस फुट का बस हो गया ये देख लीजिए आप ये है दस फुट का बस खड़ा हो रहा है।
के देखो,ये देखो आप,के देखो।
ये दस फुट का बास हो गया ये देख,यह दस फुट का बास हो गया यह देख लो,"ये दस फुट का बैस हो गया, ये देख।"
एक खर्चा ह तो है बासों का किसान अगर थोड़ा सा डा जो खर्चा है वो कम किरेगा तो भी तो आगे बढ़ेगा ये मांग के चलो अच्छाआ दिनां क्या ोरला,खर्चा तो है बासों का किसान अगर थोड़ा थोड़ा जो खर्चा है वो कम करेगा तभी आगे बढ़ेगा ये मानके चलो अच्छा आज दिनाक क्या है रघुराज जी,एक खर्चा तो है बासों का किसान अगर थोड़ा सा जो खर्चा है वो कम करेगा तो भी तो आगे बढ़ेगा ये मांग के चलो अच्छे दिन क्या और लाएगा।
और दिनांक है,आज दिनांक है,और दिनांक है।
तो,तो,तो
मतलब फरवरी के अंदर लग जाए एफरवी कया एंड के मीने त लग जाएगा आपका है न और फिर ये पसर कब तक चलेगा,मतलब फरवरी के अंदर लग जाए फरवरी के एंड महीने तक लग जाएगा है ना और फिर ये फसल कब तक चलेगी,मतलब फरवरी के अंदर लग जाए एफरवी क्या एंड के मीने तो लग जाएगा आपका है न और फिर ये पैसार कब तक चलेगा
हेलो दोस्तों सभी को नमस्कार मेरा नाम है पंकज और स्वागत है एक बार फिर से आपका घर्म ई चैनल में,हैलो हैलो दोस्तों सभी को नमस्कार मेरा नाम है पंकज और स्वागत है एक बार फिर से आपका घर में चैनल में,हेलो दोस्तों सभी को नमस्कार मेरा नाम है पंकज और स्वागत है एक बार फिर से आपका धर्म ई चैनल में
और एक इधर और ये छोटा सा निकल रहा है ये देखिए ोल,यह देखिए और एक इधर और यह छोटा सा निकल रहा है यह देखिए,"और एक इधर और ये छोटा सा निकल रहा है, ये देखिए।"
चार पौधे और निकलआए हैं दो पौधे हमने निकाल लिए थे ये पौधा िर हमने छोड़ा था ये देखिए दोस्तों बीस दिन पहले जोब हमने दो पौधे,टोटल चार पौधे और निकल आए हैं दो पौधे हमने निकाल लिए थे यह पौधा केवल में छोड़ा था ये देखिए दोस्तों बीस दिन पहले जब हमने दो पौधे,"चार पौधे और निकल आए हैं। दो पौधे हमने निकाल लिए थे। ये पौधा हमने छोड़ा था। ये देखिए दोस्तों, बीस दिन पहले जो हमने दो पौधे..."
निका लिए थे इतने इत े बड़े मने पौधे नि काले थे तब यहां पर हम ने के वल एक पौधा ये छोड़ा था और वो जो आपको हम वीडियो दिखा रहे है उसमें देखे कितना बड़े बड़े पौधे हो गए ै और नए पौधे निकल आए हैं तो अगर आपका पौधा जो है वो छह महीना पुराना है तो उसमें कब जल्दी जल्दी निकलते रहते हैं लेकिन आप कोश्ट करें की सिंगल पौधा ही रखखे तो उसकी पत्तिया ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कमपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और प जाड़े के मौसम में हम इसको खुली धूप में रखेंगेिकर ो,निकाल लिए थे इतने बड़े बड़े पौधे निकाले थे तब यहां पर हमने केवल एक पौधा यह छोड़ा था और वह जो आपको वीडियो दिखा रहे हैं इसमें देखिए कितना बड़े बड़े पौधे हो गए हैं और नए पौधे निकल आए हैं तो अगर आप का पौधा जो है वह छह महीना पुराना है तो उसमें प्रप्स जल्दी निकलते रहते हैं लेकिन आप कोशिश करें कि सिंगल पौधा ही रखें तो उसकी पत्नी ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कंपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और जाड़े के मौसम हम इसको खुली धूप में रखेंगे मिक्सर होता है,निका लिए थे इतने बड़े मने पौधे निकाले थे तब यहां पर हमने केवल एक पौधा यह छोड़ा था और वो जो आपको हम वीडियो दिखा रहे हैं उसमें देखिए कितना बड़े बड़े पौधे हो गए हैं और नए पौधे निकल आए हैं तो अगर आपका पौधा जो है वो छह महीना पुराना है तो उसमें कब जल्दी जल्दी निकलते रहते हैं लेकिन आप कोशिश करें कि सिंगल पौधा ही रखें तो उसकी पत्तियाँ ज्यादा मोटी होती हैं और इसमें अब हम थोड़ी सी वर्मी कंपोस्ट ऐड कर देंगे उसके बाद हल्की वाटरिंग कर देंगे और जाड़े के मौसम में हम इसको खुली धूप में रखेंगे।
वो आप ध्यान रखें कि जब आप पहली बा तो जब आप नया पप्स से निकाल लेते हैं तो उस के बाद बहुस ही आसानी से निकालें चा कोसकी ायता सेै इसको काट के निकालें और जो नया ये पुराना पौधा होता है उसकी जो जड़े होती है वो नहीं कटनी चाहिए या उसका इस्टिम ज है वो नहीं कटना चाहिए और जब जबाआप निकाल लेते हैं उटके बाद जो मिक्सर होता है उसको आप थोड़ा सा कोशिश करने की उसमें वर्मी कमपोस्ट या कमपोस्टकी खाद जो होती है वो ऐड कर दें और वाटरिंग पको बहत हल्की करनी होती है अगर आप ज्यादा वाटरिंग करेंगे तो पौधा जो है डैमेज आता है इसका वीडियो हम जल्दी ही आपको देंगे,वो आप ध्यान रखें कि जब आप पहली बार तो  जब आप नए पप्स यहां से निकाल लेते हैं तो उसके बाद बहुत ही आसानी से निकाल लें ताकि उसकी सहायता से इसको काट कर निकाल लें और जो न यह पुराना पौधा होता है उसकी जड़ें होती है वह नहीं करनी चाहिए उसका सिस्टम है वह नहीं काटना चाहिए और जब जब आप निकाल लेते हैं उसके बाद जो मिक्सचर होता है उसको आप थोड़ा सा कोशिश करें कि उसमें वर्मी कंपोस्ट या कंपोस्ट खाद होती है वह ऐड कर दें और वाटरिंग आपको बहुत हल्की करनी होती है अगर आप ज्यादा वाटरिंग करेंगे तो पौधा जो है डैमेज हो जाता है इसका वीडियो हम जल्दी ही आपको देंगे,वो आप ध्यान रखें कि जब आप पहली बार तो जब आप नया पौधा निकाल लेते हैं तो उसके बाद बहुत ही आसानी से निकालें। चारकोस्की से इसको काट के निकालें और जो नया या पुराना पौधा होता है उसकी जो जड़ें होती हैं वो नहीं कटनी चाहिए या उसका सिस्टम जो है वो नहीं कटना चाहिए। और जब जब आप निकाल लेते हैं उसके बाद जो मिक्सर होता है उसको आप थोड़ा सा कोशिश करने की उसमें वर्मी कम्पोस्ट या कम्पोस्ट की खाद जो होती है वो ऐड कर दें और वाटरिंग को बहुत हल्का करना होता है। अगर आप ज्यादा वाटरिंग करेंगे तो पौधा जो है डैमेज आता है। इसका वीडियो हम जल्दी ही आपको देंगे।
उसमं आपको मं पूरा अपडेट दिखाएंगे कि दो पौधे लगाने से अगर एक कपौधे को हम किस तरीके से लगाते हैं तो वो हेल्दी चलता है और किस तरीके से एक खराब हो जाता है वोस में आपको वीडियो देंगे,इसमें आपको मैं पूरा डेढ दो पौधे लगाने से अगर यह देखिए इस तरीके से लगाते हैं तो वह हेल्दी चलता है और किस तरीके से एक खराब हो जाता है वह भी हम आपको वीडियो देंगे,"उसमें आपको मैं पूरा अपडेट दिखाएंगे कि दो पौधे लगाने से अगर एक पौधे को हम किस तरीके से लगाते हैं तो वह हेल्दी चलता है और किस तरीके से एक खराब हो जाता है, उसमें आपको वीडियो देंगे।"
ये,ये,ये
यह गजेंद्र भाई,यह गजेंद्र भाई,यह गजेन्द्र भाई
इनकी गोभक्ति की जितनी तारीफ की जाए उतनी क है,इनकी गो भक्ति की जितनी तारीफ की जाए उतनी कम,इनकी गोभक्ति की जितनी तारीफ की जाए उतनी कम है।
लंपी बीमारी ने पूरे राजस्थान को अपनी चपेट में लिया हुआ हैऐसे में ये युवा न दिन देखता है न रात ये निकल पड़ता है गायों की सेवा के लिए उन्हें इंजेक्शन दवाइयां देने के लिए,लम्बी बीमारी ने पूरे राजस्थान को अपनी चपेट में लिया हआ है ऐसे में ये युवा न दिन देखता है न रात ही निकल पड़ता है गायों की सेवा के लिए उन्हें इंजेक्शन दवाइयां देने के लिए,"लंपी बीमारी ने पूरे राजस्थान को अपनी चपेट में लिया हुआ है। ऐसे में ये युवा न दिन देखता है न रात, ये निकल पड़ता है गायों की सेवा के लिए, उन्हें इंजेक्शन और दवाइयां देने के लिए।"
गजेन्द्र पाली जिले की सुमीरपुर तहसील में पड़ने वाले ढोला गांव में रहते अपने भागीरत प्रयास से गजेनद्र अब तक एकसौ पचास से दो सौ गो माताओं तक बचाते ै,गजेंद्र पाली जिले की सुमेरपुर तहसील में पड़ने वाले डोला गांव में रहते अपने भागीरथ प्रयास से गजेंद्र अब तक एक सौ पचास से दो सौ गौ माताओं तक बचा चुके,गजेन्द्र पाली जिले की सुमीरपुर तहसील में पड़ने वाले ढोला गांव में रहते अपने भागीरथ प्रयास से गजेन्द्र अब तक एक सौ पचास से दो सौ गो माताओं तक बचाते हैं।
अगर ऐसे ही युवा समाज से निकलकर आगे आएंगे तो वो दिन दोर नहीं जब लमकी नामकी बीमारी हरेगी गमाता जीतेगी,हैं अगर ऐसे ही युवा समाज से निकल कर आगे आएंगे तो वो दिन दूर नहीं जब लम्पि नाम की बीमारी हारेगी गौमाता जीतेगी,अगर ऐसे ही युवा समाज से निकलकर आगे आएंगे तो वो दिन दूर नहीं जब डिप्रेशन नामकी बीमारी हार जाएगी और जीतेगी।
