One_Shot_Input,One_Shot_Response,Two_Shot_Input,Two_Shot_Response,Three_Shot_Input,Three_Shot_Response,Four_Shot_Input,Four_Shot_Response,Five_Shot_Input,Five_Shot_Response,Prompt,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 सैंतीस तक की ही मृत्यु हुई है और इसमें मृत्यु दर में भी काफ़ी गिरावट आई है और जहाँ पर महिलाओं के जो प्रसव की जो समस्याएं हैं उस प्रसव के समस्याओं में भी उनमें",सैंतीस तक की ही मृत्यु हुई है और इस में मृत्युदर में भी काफ़ी गिरावट आई है और जहाँ पर महिलाओं के जो प्रसव की जो समस्याएँ हैं उस प्रसव के समस्याओं में भी उन में,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 चालीस",चालीस,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 चालीस हज़ार चार सौ",चालि‍स हज़ार चार सौ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 एक नवजात शिशु के",एक नवजात शिशु के,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 तो तीन सौ चालीस हो गयाए मैम टोटल है ना",तो तीन सौ चालीस हो गए मेम टोटल है ना,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 जो चालीस प्रतिशत जो मौतें होती है वो ये हती कि जो फैस से माता से जो बच्चा पड़ रहा है",जो चालीस प्रतिशत जो मौतें होती है वो ये हती कि जो फैस से माता से जो बच्चा पड़ रहा है,जो चालीस प्रतिशत जो मौतें होती हैं वो ये होत क जो भैंस से माता से जो बच्चा पल़ रहा है,जो चालीस प्रतिशत जो मौतें होती हैं वो यह है कि जो फेसे माता से जो बच्चा पड़ रहा है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 अगर ब्राइड को रेडी करवाना है तो उसके अंदर में मैम अलग अलग कंपनसेेशनस होते हैं जैसे कि",अगर ब्राइड को रेडी करवाना है तो उसके अन्दर पे मैम अलग अलग कंपनसेशन होते हैं जैसे कि,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 हाँ जी दीदी हमें कुछ एनर्जी पाउडर यानी की युट्रोसिल",हाँ दीदी हमें कुछ एनर्जी पाउडर यानी की युट्रोसिल,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 हिंदी भाषा का सबसे पहला सिीखाना हमारी माता का ही होता है हमारी माता ही हमें सबसे पहले हिंदी के सारे वर्ड या हमें बोल हैं",हिन्दी भाषा का सब से पेहला सिखाना हमारे माता का ही होता है हमारी माता ही हमें सब से पहले हिन्दी के सारे वर्ड या हमें बोलना,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 नमस्ते दीदी दीदी हमें कुछ एनर्जी पाउडर चाहिए थे एंड कुछ दवाइयाँ चाहिए थी आपके मेडिकल में क्या यहे सब अवेलेबल हैं",नमस्ते दीदी दीदी हमें कुछ एनर्जी पाउडर चाहिए थे एंड कुछ दवाइयां चाहिए थी आपके मेडिकल में क्या यह सब अवेलेबल हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 बच्चे को जन्म लेते ही एक घंटे के अंदर माँ का पीला गढ़ा दूध पिलाएंगे",बच्चे को जन्म लेते ही एक घंटे के अंदर माँ का पीला गाढ़ा दूध पिलाएंगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 तो माता के शरीर से इमिनोग्लोबलिन के रूप में",तो माता के शरीर से इमिनोग्लोबलिन के रूप में,तो माता के शरीर से इमिनोग्लोगलिन के रूप में,तो माता के शरीर से इम्युनोग्लोबिन के रूप में
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 वो अपने माँ बिना नहीं रह सकता और वो भी अपने बच्चे बिना दूध नहीं देती है तक उसका बच्चा उसके पास ना लाओ तो दूध नहीं देगी",वह अपने माँ बिना नहीं रह सकता और वह भी अपने बच्चे बिना दूध नहीं देती है जब तक उसका बच्चा उसके पास न लाओ तो दूध नहीं देगी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 ठीक नहीं हो पाते उनको जब यदि बच्चा बीमार हो जाता है जैसे कि बच्चे को यदि",ठीक नहीं हो पाते उनको जब यदि बच्चा बीमार हो जाता है जैसे कि बच्चे को यदि,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 और जो हमारे शिशु हैं उनके लिए टीकाकरण तो उपलब्ध है लेकिन जो लोग हैं इतनी जागरूक नहीं है जो कि समय पर उनका टीकाकरण उपलब्ध करवा सके वो",और जो हमारे शिशु हैं उनके लिए टीकाकरण तो उपलब्ध है लेकिन जो लोग है इतने जागरूक नहीं है जो कि समय पर उनका टीकाकरण उपलब्ध करवा सकें वो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 हमारे क्षेत्र में कुपोषण एक आम समस्या है यहाँ पर बच्चों को उतने अच्छे तरीके से पोषक तत्व नहीं मिल पाता है जैसा कि उन्हें चाहिए",हमारे क्षेत्र में कुपोषण एक आम समस्या है यहाँ पर बच्चों को उतने अच्छे तरीके से पोषक तत्व नहीं मिल पाता है जैसा कि उन्हें चाहिए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 जो हमारा नवजात जो बच्चा होता है उसको छोटे छोटे बच्चों के हाथ में नहीं दिया जाता है उसको हम ज़्यादातर चारपाई पर ही लिटा कर",जो हमारा नवजात जो बच्चा होता है उसको छोटे छोटे बच्चों के हाथ में नहीं दिया जाता है उसको हम ज़्यादातर चारपाई पर ही लिटा कर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 वो शिशुओं में नहीं पहुंच पातीब जब शिशु पैदा होता है तो माता से जो उसे जो रेडीमेट रेजिस्टरेंस पावर मिलना चाहिए",वो शिशुओं में नहीं पहुंच पातीब जब शिशु पैदा होता है तो माता से जो उसे जो रेडीमेट रेजिस्टरेंस पावर मिलना चाहिए,वो शिशुों में नहीं पहुंच पाती है जब शिशु पैदा होता है तो माता से जो उसे जो रेडिमेंट रेजिस्टेंस पावर मिलना चाहिए,वह शिशुओं में नहीं पहुंच पाती जब शिशु पैदा होता है तो माता से जो उसे जो रेडिमेट रिजिस्टेंस पावर मिलना चाहिए
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 नहीं नहीं नहीं नहीं पाँच परसेंट तो बहुत कम हो जाएगा",नहीं नहीं नहीं नहीं पाँच परसेंट तो बहुत कम हो जाएगा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 इसमें क्या कम कर सकते कर लेंगे दो पाँच रुपये कम चलो आप कितने चाहिए आपको",इसमें क्या कम कर सकते कर लेंगे दो पाँच रुपया कम चलो आप कितने चाहिए आपको,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 सर कुछ तो कम कर लो सर ऐसे म दो पाँच किलो",ए सर कुछ तो कम कर लो सर ऐसे में दो पाँच किलो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 देखिए आपने मुझे बोला साढ़े पाँच सौ से प्राइस आप कम कर दीजिए मैंने देखो आपने मुझे बोला प्राइस पचास रुपये कम करने के लिए तो मैंने कर दिया पाँच सौ रुपएे अब और कितना कम करके दूँ मैं आपको",देखिये आपने मुझे बोला साढ़े पाँच सौ से प्राइस आप कम कर दीजिये मैंने देखो आपने मुझे बोला प्राइस पचास रूपए कम करने के लिए तो मैंने कर दिया पाँच सौ रूपए अब और कितना कम करके दूं मैं आपको,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 पहचान के हैं एक लाख पाँच हज़ार है तो आप एक लाख पाँच सौ रुपएे कम कर दीजिए एक लाख साढ़े चार हज़ार दे दीज",पहचान के हैं एक लाख पाँच हजार है तो आप एक लाख पाँच सौ रुपए कम कर दीजिए एक लाख साढ़े चार हजार दे दीजिए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 हम इस आंकड़े को पचपन प्रतिशत से घटाकर पाँच दशमलव नौ पाँच परसेंट यानि छः परसेंट तक कम कर सकते हैं",हम इस आंकड़े को पचपन प्रतिशत से घटाकर पाँच दशमलव नौ पाँच परसेंट यानि छः परसेंट तक कम कर सकते हैं,हम इस आंकड़े को पच्चपन प्रतिशत से घटाकर पाच् दशमलव नो पाच पर्सेंट यानी छह पर्सेंट तक कम कर सकते हैं,हम इस आंकड़े को पचपन प्रतिशत से घटाकर पाँच दशमलव नौ पाँच प्रतिशत यानि छः प्रतिशत तक कम कर सकते हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 जी सर आपकी य कार की",जी सर आपकी ये कार की,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 हेलो नमस्कार क्या मेरी बात जय माता दी कार एजेंसी से हो रही है जी देखिए मैंने जो कार",हैलो नमस्कार क्या मेरी बात जय माता दी कार एजेंसी से हो रही है जी देखिए मैंने जो कार,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 कार की",कार की,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 कार कौनसी आपकी",कार कौनसी है आपकी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 हाँ जी हो जाएगी कौन सी कार हैं आपकी",हाँ जी हो जाएगी कौनसी कार है आपकी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 सबसे पहला कारं ट मैंने आपको बताया था कि नवजात में",सबसे पहला कारं ट मैंने आपको बताया था कि नवजात में,सबसे पहला कारण मैंने आपको बताया था कि नवजात में,सबसे पहले कारेंट मैंने आपको बताया था कि नवजात में
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 बच्चे को जन्म लेते ही एक घंटे के अंदर माँ का पीला गढ़ा दूध पिलाएंगे",बच्चे को जन्म लेते ही एक घंटे के अंदर माँ का पीला गाढ़ा दूध पिलाएंगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 अच्छे से की जाती है जिस समय कोई माँ किसी शिशु को जन्म देने वाली होती है यदि उस समय वो",अच्छे से की जाती है जिस समय कोई माँ किसी शिशु को जन्म देने वाली होती है यदि उस समय वो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 इसके अलावा प्रसव के समय जब बच्चा जन्म ले लेता है तो बच्चे की भी देखभाल अच्छे से",इसके अलावा प्रसव के समय जब बच्चा जन्म ले लेता है तो बच्चे की भी देखभाल अच्छे से,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 और जो उनके जन्म से जो पहले वर्ष है उनका वो आहार है उनको जो हम खाने के लिए देते हैं वो बहुत ही पतली चीज़ जैसे दूध",और जो उनके जन्म से जो पहले वर्ष है उनका वो आहार उनको जो हम खाने के लिए देते हैं वह बहुत ही पतली चीज जैसे दूध,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 देखा जाए कि जैसे एक बच्चा पैदा होता है तो पैदा होता है तो सबसे पहले उसको उसकी जो छः उसको जो दूध पिलाया जाता है वो छ महीने तक की उसकी माँ क ही पिलाया जाता है उसके बाद में उसको खाना खिलाया जाता है",देखा जाए के जैसे एक बच्चा पैदा होता है तो पैदा होता है तो सबसे पहले उसको उसकी जो छ है उसको जो दूध पिलाया जाता है वो छ महीने तक कि उसकी माँ का ही पिलाया जाता है उसके बाद में उसको खाना खिलाया जाता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 ैसेी बच्चा प्सुती होगी मैं स की कापकोसे गायो के लिए आप तुरंत पहले घंटे में",ैसेी बच्चा प्सुती होगी मैं स की कापकोसे गायो के लिए आप तुरंत पहले घंटे में,जैसे ही बच्चा आप प्रसुति हो गई भैसों की खास केर के गाय मे भी आप तुरंत पहले घंटे में,ऐसे बच्चा पेट से होगी मैं उसकी कपूर कोसे गायों के लिए आप तुरंत पहले घंटे में
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 मतलब वो बस जा रहे हैं हमारे यहाँ पर और नहीं आते तो यह मुझे सुनकर बहुत बुरी लगती है क्योंकि अगर तुम अपना घर छोड़ दोगे जिसके मतलब जिसकी वजह से तुम इतने बड़े बने हो अगर उसको तुम छोड़ दोगे तो छोड़ दो तुम तुम्हारा जो कर्मफल है वो आप तुम भगोगे",मतलब वो बस जा रहे हमारे यहाँ पर और नहीं आते तो ये मुझे सुनकर बहुत बुरी लगती है क्योंकि अगर तुम अपना घर छोड़ दोगे जिसके मतलब जिसकी वजह से तुम इतने बड़े बने हो अब उसको तुम छोड़ दोगे तो छोड़ दो तुम तुम्हारा जो कर्म फल है वो आप तुम भोगोगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 अप वो खाली पेट वाला कैप्चूल डेली ले रहे हैं या फिर उसको वैसे छोड़ रहे हैं",आप वो खाली पेट वाला कैप्सूल डेली ले रहे हैं या फिर उसको वैसे छोड़ रहे हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 ये लस जो है यहाँ से थोड़ा सा निकला हुआ है नीचे की तरफ न",ये लैस जो है यहाँ से थोड़ा सा निकाला हुआ है नीचे की तरफ़ नीचे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 तो वो मैं थो ना ले रहा हूँ वो तो फिर मजबूर आएंगे वो लेंगे",तो वो मैं थोड़े ना ले रहा हूँ वो तो मजदूर आयेंगे वो लेंगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 जसके प्छत्ती जील गए न",जिस से पछेत्ती जिल गए ना,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 जुंदर बस्सो होता है वो बेचा रा उसको दूरी नहीं पिलाते हैं उसको उतना ही तो पिलाते हैं कि जस उसके ठन पर ले जाएगे उसको छोड़ेंगे",जुंदर बस्सो होता है वो बेचा रा उसको दूरी नहीं पिलाते हैं उसको उतना ही तो पिलाते हैं कि जस उसके ठन पर ले जाएगे उसको छोड़ेंगे,जो नरवत्स होता है वो बेचारा उसको दूधी ही नहीं पिलाते है उसको उतना ही दूध पिलाते हैं कि जस उसके थन पर ले जाकर उसको छोड़ेंगे,"चूंडर बस ऐसा होता है, वो बेचारा उसको दुरी नहीं पिलाते हैं, उसको उतना ही तो पिलाते हैं कि जब उसके थन पर ले जाएंगे, उसको छोड़ेंगे।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 हाँ वो तो चलो बाद में देख लेंगे एडजस्ट कर लेंगे अपन है न",हाँ वो तो चलो बाद में देख लेंगे एडजस्ट कर लेंगे हम हैं ना,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 और इनके साथ में जो भी होगा वो",और इन के साथ में जो भी होगा वो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 हाँ सही है वो भी देखना पड़ेगा",हाँ सही है वो भी देखना पड़ेगा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 के द्वारा उनको",के द्वारा उनको,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 और उसका मेंैटनेक्सीचेक करना है",और उसका मैन्ट्नन्स भी चेक करना है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 उसके साथ मेंलये ये मतलब उनको पटनीय होगा",उसके साथ मेंलये ये मतलब उनको पटनीय होगा,उसके साथ मे ये मतलब उनको पटनी ही होगा,उसके साथ में लिए ये मतलब उनको पड़ने होगा
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 पत्रकार में बहुत ही कम एडवर्टाइजमेंट होते हैं बाकीि पत्रकार में एवं पत्रों में ऐसा होता है कि इसमें न्यूज़ से ज़्यादा",पत्रकार में बहुत ही कम एडवर्टाइज़मेंट होते हैं बाकि पत्रकार में एवं पत्रों में ऐसा होता है कि इसमे न्यूज़ से ज़्यादा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 जो कि प्रिंट मीडिया में दी जाती है लेकिन उससे अच्छे तरीके से हमें",जो कि प्रिंट मीडिया में दी जाती है लेकिन उससे अच्छे तरीके से हमें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 को ही लिखा जाता है इस समाचार पत्र में हम एडवर्टाइजमेंट को भी बहुत ही कम देखते हैं",को ही लिखा जाता है इस समाचार पत्र में हम एडवर्टाइज़मेंट को भी बहुत ही कम देखते हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 और पत्रिका ये सभी जो पेपर हैं जो आते हैं अखबार हैं ये सभी है ना सही सही न्यूज़ ही देते हैं जहाँ तक के जो न्यूज़ होती है वो बिल्कुल सही होती है इसलिए है ना इन सबकी तरफ ध्यान देना भी बहुत ज़रूरी है मीडिया",और पत्रकार यह सभी जो पेपर है जो आते है अख़बार है यह सभी है न सही सही न्यूज़ ही देते हैं जहाँ तक जो न्यूज़ होती है वह बिल्कुल सही होती है इसलिए है न इन सब की तरफ ध्यान देना भी बहुत ज़रूरी है मीडिया,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 ये सभी जो है हाँ न्यूज़ पेपर भी है तो न्यूज़ पेपर मुझे लगता है भाई अखबारों में इतना ज़्यादा बढा चढ़ा कर नहीं बताते पर जो हम न्यूज़ चैनल देखते हैं भारतीय जो मीडिया है वो हमको काफ़ी बार ऐसा होता है जो छोटी सी चीज़ को बहुत बड़ा करके बताते हैं",ये सभी जो है हाँ न्यूज़ पेपर भी है तो न्यूज़ पेपर मुझे लगता है भई अखबारों में इतना ज़्यादा बढ़ा चढ़ा कर नहीं बताते पर जो हम न्यूज़ चैनल देखते हैं भारतीय जो मीडिया है वो हमको काफ़ी बार ऐसा होता है जो छोटी सी चीज को बहुत बड़ा करके बताते हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 तो प्रिं प्रिंट मीडिया का कोई कोई जोड़ नहीं है दूइसलि मे कह रा हो कि आपहमलोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा",तो प्रिं प्रिंट मीडिया का कोई कोई जोड़ नहीं है दूइसलि मे कह रा हो कि आपहमलोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा,तो प्रिंट मीडए जगह कोई कोई जोड़ नहीं है दूसरीे की मै ये कहा आ हमलोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा,"तो प्रिंट मीडिया का कोई जोड़ नहीं है, इसलिए मैं कह रहा हूँ कि हम लोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 ये तीन कोर्स हमारे ये बहुत ज़्यादा प्रचलन में है",ये तीन कोर्स जो हमारे यहाँ ये बहुत ज़्यादा प्रचलन में हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 क्योंकि मैं तीन तीसरे पद की श्रेणी पे आई थी और मैंने बहुत अच्छे अंकों से मेरी कक्षा उत्तीर्ण करी थी",क्योंकि मैं तीन तीसरे पद की श्रेणी पे आई थी और मैंने बोहुत अच्छे अंकों से मेरी कक्षा उत्तीर्ण की थी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 पहला है उच्च शिक्षा दूसरा है चिकित्सा शिक्षा तीसरा है स्कूल शिक्षा",पहला है उच्‍च शिक्षा दूसरा है चिकित्‍सा शिक्षा तीसरा है इस्‍कूल शिक्षा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 और तीन दिन का हमारे टूर है",और तीन दिन का हमारा टूर है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 परर ईयर और नेक्स्ट ईयर भी सेकंड ईयर भी थर्टी फाइव थाउज़ेंड होती है और दो साल में ही कं्प्लीट हो जाता है उसका भी अपन कोलायसेंस मिलता है इसको जो कोर्स को करवाने के लिए अपने आ रिचेस हैं",पर ईयर और नेक्स्ट ईयर भी सेकंड ईयर भी थर्टी फाइप थाउजेंड होती है और दो साल में ही कम्पलीट हो जाता है उसका भी अपन को लाइसेंस मिलता है इसको जो कोर्स को करवाने के लिए अपने आर यु एच एस हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
 जो तीसरे दिन हम ने किया था यानी जो पिपरेजीन पैरातीन द्राओ और नॉर प्ॉक्ससीन का एक कोर्स किया था",जो तीसरे दिन हम ने किया था यानी जो पिपरेजीन पैरातीन द्राओ और नॉर प्ॉक्ससीन का एक कोर्स किया था,जो तीसरे दिन हमने किया था यानी जो कि रेजीन पैरा कीं द्रव और नॉरप्रॉसिसन का एक कोर्स किया था,"जो तीसरे दिन हमने किया था यानी जो पिपरेजीन, पैराटीन, ड्रॉ और नॉरपॉक्ससीन का एक कोर्स किया था"
