One_Shot_Input,One_Shot_Response,Two_Shot_Input,Two_Shot_Response,Three_Shot_Input,Three_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी हाँ मैं पाँच देशों के नाम बोल सकती हूँ भारत पाकिस्तान ऑस्ट्रेलिया न्यूज़ीलैंड अफगानिस्तान",जी हाँ मैं पाँच देशों के नाम बोल सकती हूँ भारत पाकिस्तान ऑस्ट्रेलिया न्यू ज़ीलैंड अफ़गानिस्तान,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी हाँ मैं पाँच देश के नाम बोल सकता हूँ भारत पाकिस्तान नेपाल बांग्लादेश भूटान",जी हाँ मैं पाँच देश का नाम बोल सकता हूँ भारत पाकिस्तान नेपाल बांग्लादेश भूटान,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इधर देखा जाए तो हमारे इधर भारत देश में भी ऐसी बहुत सारी जगहें है जो लोग दुनिया भरषा आते हैं वहाँ देख लो",इधर देखा जाए तो हमारे इधर भारत देश में भी ऐसी बहुत सारी जगहें हैं जहाँ लोग दुनिया भर से आते हैं हमारे देख लो,भारत में पूरे मुल्ख में पिचपन प्रतिशत से ज्यादा हिस्सा देशों के जरिए आता है,भारत में पूरे मूल्क में प्रतिशत से ज्यादा हिस्सा भैसों के जरिए आता है,भारत में पूरे मुल्क में पचहत्तर प्रतिशत से ज्यादा हिस्सा देशों के जरिए आता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और जो उनके जन्म से जो पहले वर्ष है उनका वो आहार है उनको जो हम खाने के लिए देते हैं वो बहुत ही पतली चीज़ जैसे दूध",और जो उनके जन्म से जो पहले वर्ष है उनका वो आहार उनको जो हम खाने के लिए देते हैं वह बहुत ही पतली चीज जैसे दूध,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी हमारे स्थानीय क्षेत्र में लोग",जी हमारे स्थानी क्षेत्र में लोग,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
भगोली होती है तो हम उसम दूध लेते हैं दूध गर्म करते हैं उसके अलावा कुछ कुछ भगोनी ऐसी एक भगोनी है जिसम दूध वगैरह लेते हैं एक भगोनी है स्टैंड हैंडल वाली जिसमें बेसिकली हम लोग ज़्यादातर चाय बनाते हैं",भगोनी होती है तो हम उसमें दूध लेते है दूध गर्म करते हैं उसके अलावा कुछ कुछ भगोनी ऐसी एक भगोनी जैसे दूध वगैरह लेते हैं एक भगोनी है स्टेन हैंडल वाली जिसमें बेसिकली हम लोग ज़्यादातर चाय बनाते हैं,स्थानीय है और वो दूध देने वाली नसले तह ही नहीं ज्यादातर नसले हमारे,स्थानीय हैं और वो दूध देनेवाली नसल है नही नहीं ज्यादातर मसले हमारे,स्थानीय है और वो दूध देने वाली नस्लें तैही नहीं ज्यादातर नस्लें हमारे
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मतलब अच्छे से बन जाए तो हम हमारे यहाँ ना ऐसी स्थिति में हम यही करते हैं कि भई कुछ ऐसी चीज़ें बना दें जैसे मैगीी में ज़्यादा कुछ नहीं लगता है",मतलब अच्छे से बन जाए तो हम हमारी है ना ऐसी स्थिति में हम यही करते हैं कि भाई कुछ ऐसी चीज़ें बना दे जैसे मेगी में ज़्यादा कुछ नहीं लगता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तुलसी आदि का इस्तेमाल करते हैं जिससे इसका स्वाद थोड़ा अलग हो नॉर्मल चज से थोड़ा अच्छा हो और सेहत के लिए भी काफ़ी अच्छी होती है",तुलसी आदि का इस्तेमाल करते हैं जिससे इसका स्वाद थोड़ा अलग हो नॉर्मल चाय से थोड़ा अच्छा हो और सेहत के लिए भी काफ़ी अच्छी होती है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ह जैसे आप कौन कौन से स्वाद की मिलेगी कौन",हाँ जैसे कौन कौन से स्वाद की मिलेगी कौन,स्वाद में थोड़ा सा प्रेशो के मुकाबले हल्का होता है लेकिन हम ये भी बात मानते हैं कि,स्वाद में थोड़ा सा भैसों के मुकाबले हल्का होता है लेकिन हम ये भी बात मानते हैं कि,स्वाद में थोड़ा सा प्रेस्सो के मुकाबले हल्का होता है लेकिन हम ये भी बात मानते हैं कि
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
करते हैं जब हमारे यहाँ किसी भी बच्चे या किसी भी बुजुर्ग व्यक्ति को खांँसी हो जाती है",करते हैं जब हमारे यहाँ किसी भी बच्चे या किसी भी बुज़ुर्ग व्यक्ति को खाँसी हो जाती है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इसी प्रकार से हमारे यहाँ बहुत सारा प्रदूषण पर्यावरण प्रदूषण है इससे लोग ज़्यादा मरते हैं और हमारे यहाँ शिशुओं के लिए टीकाकरण उपलब्ध है जैसे कि छोटे बच्चों को",इसी प्रकार से हमारे यहाँ बहुत सारा प्रदूषण पर्यावरण प्रदूषण इससे लोग ज़्यादा मरते हैं और हमारे यहाँ शिशुओं के लिए टीकाकरण उपलब्ध है जैसे कि छोटे बच्चों को,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
चाहे फिर वह बुजुर्ग हो बच्चा हो जवान हो हाँ इस दौर में अगर हम बात करें तो बुज़ुर्गों को कहीं न कहीं कई चीज़ों का सामना करना पड़ता है",चाहे फिर वह बुजुर्ग हो बच्चा हो जवान हो हाँ इस दौर में अगर हम बात करें तो बुजुर्गों को कहीं न कहीं कई चीज़ों का सामना करना पड़ता है,और सबसे इंपोर्टेंट बात तो आज हम चर्चा करने वाले हैं कि बैसों के पारे पाियों में शिशुओं में वस्तों में,और सबसे इंप्रूवमेंट बात तो आज हम चर्चा करने वाले हैं कि पैसों के पाड़े पाडियों में शिशुओं में बच्चो में,और सबसे इंपोर्टेंट बात तो आज हम चर्चा करने वाले हैं कि बैसों के बारे में शिशुओं में वस्तुओं में
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आगर मालवा",आगरमालबा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ओ जो लोग आते हैं ो उनका भाषा बोलते हैं और हम उनके भाषा में बोलते हैं मतलब हमारे ज़िले में हमारे राज्य में",वो जो लोग आते है वो उनका भाषा बोलते हे और हम उनके भाषा में बोलते हे मतलब हमारे जिले में हमारे राज्य में,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जैसे हमारे क्षेत्र में महाराष्ट्र लोग हैं तो महाराष्ट्री तरीके से गुजराती है तो गुजरात तरीके से हमारे मध्य प्रदेश के निवासी जैसे",जैसे हमारे क्षेत्र में महाराष्ट्र हो गए तो महाराष्ट्री तरीके से गुजराती हैं तो गुजरात तरीके से हमारे मध्य प्रदेश के निवासी जैसे,हमारे एक मालवी में कहा बचे हम मालवा में गाँव में जाते हैं तो हम बात करतेमालवा वासियों से,हमारे मालवे ने कहावत हम मालवा में गांव में जाते हैं तो ह बात करते मालवा वासियों से,"हमारे एक मालवी में कहा, ""बच्चे, हम मालवा के गाँव में जाते हैं तो हम बात करते हैं मालवा वासियों से।"""
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सैंतीस तक की ही मृत्यु हुई है और इसमें मृत्यु दर में भी काफ़ी गिरावट आई है और जहाँ पर महिलाओं के जो प्रसव की जो समस्याएं हैं उस प्रसव के समस्याओं में भी उनमें",सैंतीस तक की ही मृत्यु हुई है और इस में मृत्युदर में भी काफ़ी गिरावट आई है और जहाँ पर महिलाओं के जो प्रसव की जो समस्याएँ हैं उस प्रसव के समस्याओं में भी उन में,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
चालीस",चालीस,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
चालीस हज़ार चार सौ",चालि‍स हज़ार चार सौ,जो चालीस प्रतिशत जो मौतें होती है वो ये हती कि जो फैस से माता से जो बच्चा पड़ रहा है,जो चालीस प्रतिशत जो मौतें होती हैं वो ये होत क जो भैंस से माता से जो बच्चा पल़ रहा है,"जो चालीस प्रतिशत मौतें होती हैं, वो यह है कि जो प्रसव से माता से जो बच्चा हो रहा है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अगर ब्राइड को रेडी करवाना है तो उसके अंदर में मैम अलग अलग कंपनसेेशनस होते हैं जैसे कि",अगर ब्राइड को रेडी करवाना है तो उसके अन्दर पे मैम अलग अलग कंपनसेशन होते हैं जैसे कि,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ जी दीदी हमें कुछ एनर्जी पाउडर यानी की युट्रोसिल",हाँ दीदी हमें कुछ एनर्जी पाउडर यानी की युट्रोसिल,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हिंदी भाषा का सबसे पहला सिीखाना हमारी माता का ही होता है हमारी माता ही हमें सबसे पहले हिंदी के सारे वर्ड या हमें बोल हैं",हिन्दी भाषा का सब से पेहला सिखाना हमारे माता का ही होता है हमारी माता ही हमें सब से पहले हिन्दी के सारे वर्ड या हमें बोलना,तो माता के शरीर से इमिनोग्लोबलिन के रूप में,तो माता के शरीर से इमिनोग्लोगलिन के रूप में,तो माता के शरीर से इम्युनोग्लोबुलिन के रूप में
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
वो अपने माँ बिना नहीं रह सकता और वो भी अपने बच्चे बिना दूध नहीं देती है तक उसका बच्चा उसके पास ना लाओ तो दूध नहीं देगी",वह अपने माँ बिना नहीं रह सकता और वह भी अपने बच्चे बिना दूध नहीं देती है जब तक उसका बच्चा उसके पास न लाओ तो दूध नहीं देगी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ठीक नहीं हो पाते उनको जब यदि बच्चा बीमार हो जाता है जैसे कि बच्चे को यदि",ठीक नहीं हो पाते उनको जब यदि बच्चा बीमार हो जाता है जैसे कि बच्चे को यदि,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और जो हमारे शिशु हैं उनके लिए टीकाकरण तो उपलब्ध है लेकिन जो लोग हैं इतनी जागरूक नहीं है जो कि समय पर उनका टीकाकरण उपलब्ध करवा सके वो",और जो हमारे शिशु हैं उनके लिए टीकाकरण तो उपलब्ध है लेकिन जो लोग है इतने जागरूक नहीं है जो कि समय पर उनका टीकाकरण उपलब्ध करवा सकें वो,वो शिशुओं में नहीं पहुंच पातीब जब शिशु पैदा होता है तो माता से जो उसे जो रेडीमेट रेजिस्टरेंस पावर मिलना चाहिए,वो शिशुों में नहीं पहुंच पाती है जब शिशु पैदा होता है तो माता से जो उसे जो रेडिमेंट रेजिस्टेंस पावर मिलना चाहिए,वो शिशुओं में नहीं पहुंच पाती जब शिशु पैदा होता है तो माता से जो उसे जो रेडीमेट रेजिस्टेंस पावर मिलना चाहिए
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नहीं नहीं नहीं नहीं पाँच परसेंट तो बहुत कम हो जाएगा",नहीं नहीं नहीं नहीं पाँच परसेंट तो बहुत कम हो जाएगा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इसमें क्या कम कर सकते कर लेंगे दो पाँच रुपये कम चलो आप कितने चाहिए आपको",इसमें क्या कम कर सकते कर लेंगे दो पाँच रुपया कम चलो आप कितने चाहिए आपको,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सर कुछ तो कम कर लो सर ऐसे म दो पाँच किलो",ए सर कुछ तो कम कर लो सर ऐसे में दो पाँच किलो,हम इस आंकड़े को पचपन प्रतिशत से घटाकर पाँच दशमलव नौ पाँच परसेंट यानि छः परसेंट तक कम कर सकते हैं,हम इस आंकड़े को पच्चपन प्रतिशत से घटाकर पाच् दशमलव नो पाच पर्सेंट यानी छह पर्सेंट तक कम कर सकते हैं,हम इस आंकड़े को पचपन प्रतिशत से घटाकर पाँच दशमलव नौ पाँच प्रतिशत यानि छः प्रतिशत तक कम कर सकते हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी सर आपकी य कार की",जी सर आपकी ये कार की,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हेलो नमस्कार क्या मेरी बात जय माता दी कार एजेंसी से हो रही है जी देखिए मैंने जो कार",हैलो नमस्कार क्या मेरी बात जय माता दी कार एजेंसी से हो रही है जी देखिए मैंने जो कार,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कार की",कार की,सबसे पहला कारं ट मैंने आपको बताया था कि नवजात में,सबसे पहला कारण मैंने आपको बताया था कि नवजात में,सबसे पहला कारण मैंने आपको बताया था कि नवजात में
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बच्चे को जन्म लेते ही एक घंटे के अंदर माँ का पीला गढ़ा दूध पिलाएंगे",बच्चे को जन्म लेते ही एक घंटे के अंदर माँ का पीला गाढ़ा दूध पिलाएंगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छे से की जाती है जिस समय कोई माँ किसी शिशु को जन्म देने वाली होती है यदि उस समय वो",अच्छे से की जाती है जिस समय कोई माँ किसी शिशु को जन्म देने वाली होती है यदि उस समय वो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इसके अलावा प्रसव के समय जब बच्चा जन्म ले लेता है तो बच्चे की भी देखभाल अच्छे से",इसके अलावा प्रसव के समय जब बच्चा जन्म ले लेता है तो बच्चे की भी देखभाल अच्छे से,ैसेी बच्चा प्सुती होगी मैं स की कापकोसे गायो के लिए आप तुरंत पहले घंटे में,जैसे ही बच्चा आप प्रसुति हो गई भैसों की खास केर के गाय मे भी आप तुरंत पहले घंटे में,"ऐसे ही बच्चा पैदा होगी, मैं उसे कापकोसे गायों के लिए आप तुरंत पहले घंटे में"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मतलब वो बस जा रहे हैं हमारे यहाँ पर और नहीं आते तो यह मुझे सुनकर बहुत बुरी लगती है क्योंकि अगर तुम अपना घर छोड़ दोगे जिसके मतलब जिसकी वजह से तुम इतने बड़े बने हो अगर उसको तुम छोड़ दोगे तो छोड़ दो तुम तुम्हारा जो कर्मफल है वो आप तुम भगोगे",मतलब वो बस जा रहे हमारे यहाँ पर और नहीं आते तो ये मुझे सुनकर बहुत बुरी लगती है क्योंकि अगर तुम अपना घर छोड़ दोगे जिसके मतलब जिसकी वजह से तुम इतने बड़े बने हो अब उसको तुम छोड़ दोगे तो छोड़ दो तुम तुम्हारा जो कर्म फल है वो आप तुम भोगोगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अप वो खाली पेट वाला कैप्चूल डेली ले रहे हैं या फिर उसको वैसे छोड़ रहे हैं",आप वो खाली पेट वाला कैप्सूल डेली ले रहे हैं या फिर उसको वैसे छोड़ रहे हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ये लस जो है यहाँ से थोड़ा सा निकला हुआ है नीचे की तरफ न",ये लैस जो है यहाँ से थोड़ा सा निकाला हुआ है नीचे की तरफ़ नीचे,जुंदर बस्सो होता है वो बेचा रा उसको दूरी नहीं पिलाते हैं उसको उतना ही तो पिलाते हैं कि जस उसके ठन पर ले जाएगे उसको छोड़ेंगे,जो नरवत्स होता है वो बेचारा उसको दूधी ही नहीं पिलाते है उसको उतना ही दूध पिलाते हैं कि जस उसके थन पर ले जाकर उसको छोड़ेंगे,"चूंदर बसों होता है वो बेचारा उसको दूरी नहीं पिलाते हैं, उसको उतना ही तो पिलाते हैं कि जब उसके ठन पर ले जाएंगे, उसको छोड़ेंगे।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ वो तो चलो बाद में देख लेंगे एडजस्ट कर लेंगे अपन है न",हाँ वो तो चलो बाद में देख लेंगे एडजस्ट कर लेंगे हम हैं ना,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और इनके साथ में जो भी होगा वो",और इन के साथ में जो भी होगा वो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ सही है वो भी देखना पड़ेगा",हाँ सही है वो भी देखना पड़ेगा,उसके साथ मेंलये ये मतलब उनको पटनीय होगा,उसके साथ मे ये मतलब उनको पटनी ही होगा,उसके साथ में ये मतलब उन्हें पटनी होगा
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पत्रकार में बहुत ही कम एडवर्टाइजमेंट होते हैं बाकीि पत्रकार में एवं पत्रों में ऐसा होता है कि इसमें न्यूज़ से ज़्यादा",पत्रकार में बहुत ही कम एडवर्टाइज़मेंट होते हैं बाकि पत्रकार में एवं पत्रों में ऐसा होता है कि इसमे न्यूज़ से ज़्यादा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो कि प्रिंट मीडिया में दी जाती है लेकिन उससे अच्छे तरीके से हमें",जो कि प्रिंट मीडिया में दी जाती है लेकिन उससे अच्छे तरीके से हमें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
को ही लिखा जाता है इस समाचार पत्र में हम एडवर्टाइजमेंट को भी बहुत ही कम देखते हैं",को ही लिखा जाता है इस समाचार पत्र में हम एडवर्टाइज़मेंट को भी बहुत ही कम देखते हैं,तो प्रिं प्रिंट मीडिया का कोई कोई जोड़ नहीं है दूइसलि मे कह रा हो कि आपहमलोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा,तो प्रिंट मीडए जगह कोई कोई जोड़ नहीं है दूसरीे की मै ये कहा आ हमलोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा,"तो प्रिंट मीडिया का कोई जोड़ नहीं है, दूसरी तरफ कह रहा हूँ कि आप हम लोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ये तीन कोर्स हमारे ये बहुत ज़्यादा प्रचलन में है",ये तीन कोर्स जो हमारे यहाँ ये बहुत ज़्यादा प्रचलन में हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
क्योंकि मैं तीन तीसरे पद की श्रेणी पे आई थी और मैंने बहुत अच्छे अंकों से मेरी कक्षा उत्तीर्ण करी थी",क्योंकि मैं तीन तीसरे पद की श्रेणी पे आई थी और मैंने बोहुत अच्छे अंकों से मेरी कक्षा उत्तीर्ण की थी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पहला है उच्च शिक्षा दूसरा है चिकित्सा शिक्षा तीसरा है स्कूल शिक्षा",पहला है उच्‍च शिक्षा दूसरा है चिकित्‍सा शिक्षा तीसरा है इस्‍कूल शिक्षा,जो तीसरे दिन हम ने किया था यानी जो पिपरेजीन पैरातीन द्राओ और नॉर प्ॉक्ससीन का एक कोर्स किया था,जो तीसरे दिन हमने किया था यानी जो कि रेजीन पैरा कीं द्रव और नॉरप्रॉसिसन का एक कोर्स किया था,"जो तीसरे दिन हमने किया था यानी जो पिपरेजीन, पैरातीन, द्राओ और नॉरपॉक्सीन का एक कोर्स किया था"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सर हमें परसों की डेट पे जाना है सुबह में सात बजे के लम तम",सर हमें परसों के डेट पे जाना है सुबह में सात बजे के लगभग,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ तो इसी वजह से तो बोल रहा हूँ कि कल सर्डे ऑफ रहेगा तो आज हम शाम को कर देंगे ना पूरी व्यवस्था",हाँ तो इसी वजह से तो बोल रहा हूँ कि कल सन्डे ऑफ रहेगा तो आज हम शाम को कर देंगे ना पूरी व्यवस्था,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
चलो आज तो टाइम नहीं है हमारे पास",चलो आज तो टाइम नहीं है हमारे पास,अब सातवें दिन पे अब हमारे पास कॉलेस्ट्रम नहीं है,अब सातवें दिन पे अब हमारे पास कोलेस्ट्रम नहीं है,अब सातवें दिन पर हमारे पास कॉलेस्ट्रम नहीं है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे लगता है कृपसण एक बहुत बड़ी समस्या है क्योंकि कृपोसण जो बच्चे कम खाते हैं उनको कृुपोसण होता है लेकिन वो जो मतलब क्रृपोसण जो जिन जिन बच्चों के साथ होता है",मुझे लगता है कुपोषण एक बहुत बड़ी समस्या है क्योकि कुपोषण जो बच्चे कम खाते हैं उनको कुपोषण होता है लेकिन वह जो मतलब कुपोषण जो जिन जिन बच्चों के साथ होता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और ये धीरे धीरे बड़ा हो जाता है उससे पनप जाता है तो वो कैंसर का रूप ले लेता है और बच्चियों को पता भी नहीं चलता कैसे हो जाता है तो साादी बाद ये होता है कि अ रेेशकूती ये बीमारी हो गई है वो बीमारी हो गई है ये तो ऐसे वैसे सभी लोग सब बहुत कुछ कर कहते हैं",और ये धीरे धीरे बड़ा हो जाता है उसे पनप जाता है तो वो कैंसर का रूप ले लेता है और बच्चियों को पता भी नहीं चलता कैसे हो जाता है तो तो शादी वादी होता है अरे कि इसको तो ये बीमारी हो गई है वो बीमारी हो गई है ये तो ऐसी है वैसी है सभी लोग सब बहुत कुछ कह कहते हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इसको त ये बीमारी हो गई इसको ये बीमारी हो गई है इसको वो बीमारी हो गई है तो अब के बच्चियों को ऐसा नहीं करना चाहिए जैसे सिीखाना चाहिए कि बीमारियों से वो बच सके आगोंष आगे कैंसर की बीमारियों से बच सकेें",इसको तो ये बीमारी हो गई इसको ये बीमारी हो गई है उसको वो बीमारी हो गई है तो अब के बच्चियों को ऐसा नहीं करना चाहिए एसे सिखाना चाहिए कि बीमारियों से वो बच सके या कुछ आगे केंसर की बीमारियों से बच सके,बैसों के बच्चों में पक्सिडियोसीसनान की बीमारी होती ै,भैंसों के बच्चों में ऑक्सी डियोसिस नाम की बीमारी होती है,बैसों के बच्चों में पक्सिडियोसिसनान की बीमारी होती है
