One_Shot_Input,One_Shot_Response,Two_Shot_Input,Two_Shot_Response,Three_Shot_Input,Three_Shot_Response,Four_Shot_Input,Four_Shot_Response,Five_Shot_Input,Five_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इम्प्रोमाइज करके उसको बहुत ही अलग संगीत मेंय धुन निकाली जाती है और मुझे",इंप्रोमाइज़ करके उसको बहुत ही अलग संगीतमय धुन निकाली जाती है और मुझे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और एक बार का नुकसान होने के बाद जल्दी से पेड़ पौधे लगते भी नहीं है उनको बहुत ज़्यादा ध्यान रख रखाव रखवाली की ज़रूरत होती है तो इसीलिए हमें कई कठिनाइय समस्याओं का सामना करना पड़ता है",और एक बार का नुकसान होने के बाद जल्दी से पेड़ पौधे लगते भी नहीं है उनको बहुत ज्यादा ध्यान रख रखाव रखवाली की जरूरत होती है तो इसीलिए हमें कई कठनाइयों और समस्याओं का सामना करना पड़ता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नहीं भाई साहब नहीं नहीं आप आप अपने बंदे को भेजिए और यहाँ से य खिचड़ी रिसव करा लीजिए मुझे ये खिचड़ी नहीं चाहिए",नहीं भाईसाब नहीं नहीं आप आप अपने बंदे को भेजिए और यहाँ से ये खिचड़ी रिसीव करा लीजिए मुझे ये खिचड़ी नहीं चाहिए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सात छः का उपयोग करके कोविन पोर्टल पर लॉग इन करें और मेरा टीका प्रमाणपत्र डाउनलोड करें",सात छः का उपयोग करके कोविन पोर्टल पर लॉगिन करें और मेरा टीका प्रमाणपत्र डाउनलोड करें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और खबरों पर ही दोत यारों से चर्चा होती है मतलब भारत में जो राजनीतिक परिस्थितियाँ चल रही हैं या खेल से संबंधित जो बातचीत होती हैं",और ख़बरों पर ही दोस्त यारों से चर्चा होती है मतलब भारत में जो राजनीतिक परिस्थितियाँ चल रही हैं या खेल से सम्बंधित जो बातचीत होती हैं,जी,जी,जी
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
फ",ठीक,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
महिलाओं को रोज़ाना कुछ न कुछ नई चुनौतियों का सामना करना पड़ता है",महिलाओं को रोजाना कुछ न कुछ नई चुनौतियों का सामना करना पड़ता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नहीं सर मैं आपकी प्रॉब्लम समझ रहा हूँ सर पर क्या है सर जो रूुल्स रेगुलसन है वो तो सभी के लिए सामान है ना तो सर आप",नहीं सर मैं आपकी प्रॉब्लेम समझ रहा हूँ सर पर क्या है सर जो रुल्स रेग्यलैशन है वो तो सभी के लिए समान है ना तो सर आप,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ",हाँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मोहनमा ये भी एक इंडियन पॉलिटीशियन है और इनका भी अपने गाँव में बहुत ज़्यादा योगदान है जिसके कारण ये भी भारी बहुमतों से जीते थे",मोहनमां ये भी एक इंडियन पॉलिटीशियन हैं और इनका भी अपने गाँव में बहुत ज़्यादा योगदान है जिसके कारण ये भी भारी बहुमतों से जीते थे,यजो जो बदिया बोलते हैं जिस पो फिक्स बोलते हैं ये हमारे डेरी फार्म के दीवारों की जो छोटेछोटे,जो बिया बोलते हैं जिस पर टिक्स बोलते हैं ये हमारे डीरीपान के दीवारों की जो छोटी छोटे,जो जो बड़िया बोलते हैं जिसको फिक्स बोलते हैं ये हमारे डेरी फार्म की दीवारों की जो छोटे-छोटे
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
खाना ठीक से देने जाए और तंदूरी तंदूरी जो रोटी हमने मंगाई थी उसमें तो गे ही नहीं है वो भी पूरी सूखी है ताज़ी तो लग ही नहीं रही है आप कैसी खाना देते आपको",खाना ठीक से देने और तंदूरी चि तंदूरी जो रोटी हमने मंगाई थी उसमें तो घी ही नहीं है वह भी पूरी सूखी है ताज़ी तो लग ही नहीं रही है आप कैसी खाना देते आपको,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तब मैंने एक मॉल पर गई थी वहाँ पर बहुत मतलब इतना अच्छा नहीं लग रहा था लेकिन पहनने के लिए तो कुछ नहीं था",तब मैने एक मॉल पर गई थी वहाँ पर बहुत मतलब इतना अच्‍छा नहीं लग रहा था लेकिन पहनने के लिये तो कुछ नहीं था,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बहुत से युवा आज अपना खुद का उद्योग शुरू कर सकते हैं और उद्योग के माध्यम से अच्छी आर्थिक स्थिति",बहुत से युवा आज अपना खुद का उद्योग शुरू कर सकते हैं और उद्योग के माध्यम से अच्छी आर्थिक स्थति,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
यह पार्क होने की वजह से हमारे क्षेत्र के ज़्यादातर लोग जब यहाँ पर बहुत ज़्यादा पर्यटक आते हैं तो लोग छोटे मोटे व्यवसाय करके अपने जीवन का पालन पोषण करते रहते हैं",यह पार्क होने की वजह से हमारे क्षेत्र के ज़्यादातर लोग जब यहाँ पर बहुत ज़्यादा पर्यटक आते हैं तो लोग छोटे मोटे व्यवसाय करके अपने जीवन का पालन पोषण करते रहते हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और ये बहुत प्रेरणादायक लगती है जब वहाँ पर होता है उस भक्ति रस्म डूब के ऐसा महसूस होता है जैसे आप भगवान के पास आके सारेोह मोहमार छोड़ के आ गए हैं",पर ये बहुत प्रेरणादायक लगती है वहाँ पे होता है उस भक्ति रस में डूब के ऐसा महसूस होता है जैसे आप भगवान के पास आ के सारे मोह माया छोड़ के आ गए हैं,दरारी होती है डिवाइसेोती उसके छुटके बैठती है और जीजी जीशरीर कर उनका प्रजनन प्रक्रिया चालू होती है,दरारें होती दाव ई से छोटी उसमें छुपके बैठती हैं और जिये जीना न या शरीर उनका प्रजनन प्रक्रिया चाली होती है,दरारी होती है डिवाइसों के छुटके बैठती है और जीजी जी शरीर कर उनका प्रजनन प्रक्रिया चालू होती है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ना आपको अलग से लेना पड़ेगा सर",ना आपको अलग से लेना पड़ेगा सर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
लग रहा था लेकिन उसमें इतनी चमक थी उसके हत्थे में जो हत्थ उसम लकड़ी का था वो शीशम की लकड़ी का था तो इतना मजबूत था कि मैंने ऐसा हथौड़ा अपनी जीवन में कभी नहीं देखा",लग रहा था लेकिन उसमें इतनी चमक थी उसके हत्थे में जो हत्था उसमें लकड़ी का था वो शीशम कि लकड़ी का था तो इतना मजबूत था कि मैंने ऐसा हथौड़ा अपनी जीवन में कभी नहीं देखा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
डिलीवरी की गय चीज़ों में ग्लुकोनंडी इंस्टेंट एनर्जी हेल्थ ड्रिंक के कुछ डब्बे गायब हैं",डिलीवरी कि गई चीज़ों में ग्लुकोन डी इंस्टेंट एनर्जी हेल्थ ड्रिंक के कुछ डब्बे गायब हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नेचर है हमारा जो सामाजिक जो पर्यावरण है उनको भी थोड़ा प्रॉब्लम हो रहा है इसीलिए हम हमारा जो गवर्मेंट मेंे है उनको थोड़ा रिक्वेस्ट कर लेते हैं कि हमारा जो",नेचर है हमारा जो सामाजिक जो पर्यावरण है उनको भी थोड़ा प्रॉब्लम हो रहा है इसी लिए हम हमारा जो गमटमेंट है उनको थोड़ा रिकुएस्ट कर लेते है कि हमारा जो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी ये देखिए ये है फाइव सीटर सोफे",जी ये देखिए ये है फाइव सीटर सोफ़े,पशु को चाटने मत दीजिए और एक आधे घंटे घंटे में पशुशु जाता है तोति उसके बाद सारे एक ्लाइस होते है वो झड़के गर जाते हैं,पशु को चाटने मत दीजिए और एक आधे घंटे घंटे में पशु सुखा जाता हैं उसके बाद सारे डिक्स लाइट हो तो झड़ के मर जाते हैं,"पशु को चाटने मत दीजिए और एक आधे घंटे में पशु जाता है, तो उसके बाद सारे एक क्लाइस होते हैं, वो झड़के गिर जाते हैं।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सिंगापुर हॉगकॉग लंडन न्यूयॉर्क टोक्यो",सिंगापूर हाँगकाँग लंदन न्यूयॉर्क टोक्यो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
दाएँ",दाएं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
यदि हम सुबह जल्दी उठें टाइम से पाँच बजे उठकर यदि हम दौड़ने जाएँ तो उससे हमें सुबह सुबह की जो ताज़ा हवा है वो हमें मिल जाती है जो कि बहुत शुद्ध होती है और हमारे शरीर के लिए बहुत लाभदायक होती है",यदि हम सुबह जल्दी उठें टाइम से पाँच बजे उठ कर यदि हम दौड़ने जाएँ तो उस से हमें सुबह सुबह की जो ताज़ा हवा है वो हमें मिल जाती है जो कि बहुत शुद्ध होती है और हमारे शरीर के लिए बहुत लाभदायक होती है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ब",आप,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अद्भुत था मेरे लिए बहुत ही ज़्यादा अच्छा था और मैं उस समय उस पल को बहुत ज़्यादा मनोरंजन के साथ जी रही थी",अद्भुत था मेरे लिए बहुत ही ज़्यादा अच्छा था और मैं उस समय उस पल को बहुत ज़्यादा मनोरंजन के साथ जी रही थी,तो साइपर मेथरी बहुत सारी ऐसी दवाइयाँ आती हैं जो बाजार में मिलती हैं औ,तो साइड पर मैट्री सारी ऐसी दवाइयां आती हैं जो बाजार में मिलती हैं और,तो साइपर मैथरी में बहुत सारी ऐसी दवाइयाँ आती हैं जो बाजार में मिलती हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मिली ही जाता है आसानी से और चावल बना लेते हैं दाल बना लेते हैं",मिल ही जाता है आसानी से और चावल बना लेते हैं दाल बना लेते हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अफ़गानिस्तान जापान ब्राज़िल केनेडा अमेरिका",अफ़गानिस्तान जापान ब्राज़िल केनेडा अमेरिका,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ए सी गाड़ी है और नई गाड़ी है बिल्कुल",ए सी गाड़ी है और नई गाड़ी है बिल्कुल ही,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कि जैसे बच्चों के लिए कि अपन क्या क्या पढ़ाएंगे उनकी से अभी ही नया सिलबस आ गया है ठीक है",जैसे बच्चों के लिए अपन क्या क्या पढ़ाएंगे उनकी जो है नया सिलेबस आ गया है ठीक है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
क्या मुझे पिछले दस मिनट में कोई ईमेल प्राप्त हुआ है",क्या मुझे पिछले दस मिनट मे कोई ईमेल प्राप्त हुआ है,टिक्स खतम होई नी र तो फिर बहुत सारे ऐसे इंजेक्शन ाते हैं आय मैक्टीन के इसके जरिए आप,हमारे टिक्स खत्म होई रह तो फिर बहुत सारे ऐसे इंजेक्शन आते हैं आयुर मैक्टिनग के इसके जरिए आप उन,"टिक्स खत्म हो गईं तो फिर बहुत सारे ऐसे इंजेक्शन आते हैं आइमैक्टीन के, इसके जरिए आप"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो आपको टी टेबल तो नहीं चाहिए आपको सोफ़ा और पलो चाहिए बस",तो आपको टी टेबल तो नहीं चाहिए आपको सोफ़ा और पिलो चाहिए बस,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ बिल्कुल सर खाने के बाद सब कुछ अवलेबल है यहाँ पर यहाँ पर सब ई बी आई पी लोग आते हैं सर बड़े बड़े लोग आते हैं क्या सर",हाँ बिल्कुल सर खाने के बाद सब कुछ अवलेबेल है यहाँ पर यहाँ पर सभी वी आई पी लोग आते हैं सर बड़े बड़े लोग आते हैं क्या सर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ ये तो ज़्यादा हो गया तो आप कोई अच्छा वाला बताओ न कोई अच्छी क्वालिटी है उसमेंच",हाँ ये तो ज़्यादा हो गया तो आप कोई अच्छा वाला बताओ ना कोई अच्छी क्वॉलिटी और अच्छा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
दोनों मिलने वाले आ थोड़े से कम करो न",हम दोनों मिलने वाले है और थोड़े से कम करो ना,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आपकी इवेंट में क्या क्या सामान है",आपके इवेंट में क्या क्या समान है,और सिर्फ दूध से कुछ री दूध से तो आप जो खर्चा करता है वोही निकल पाता है,और सिर्फ दूध से कुछ रही दूध से तो आप जो खर्चा करता है वो ही निकल पाता है,"और सिर्फ दूध से कुछ भी नहीं, दूध से तो आप जो खर्चा करते हैं वो ही निकल पाता है"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सैलरी भी बढ़ानी चाहिए",सैलरी भी बढ़ानी चाहिए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो बेस होता है बेस और ट्रेवल य भी बहुत अच्छा है इसकी बेस क्वालिटी",जो बेस होता है बेस और ट्रैवल ये भी बहुत अच्‍छा है इसकी बेस क्‍वालटी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कई सारी जो सामान्य चीज़ें हैं उनको हम रखते हैं उनके खाने में या फिर रोज़ाना के रूटन में रखते हैं और मैंने जो मेरे जो जानवर है उसकी लास्ट जो जाँच है मतलब",कईं सारी जो सामान्य चीज़ें हैं उनको हम रखते हैं उनके खाने में या फिर रोज़ाना के रूटन में रखते हैं और मैंने जो मेरे जो जानवर हैं उसकी लाष्ट जो जाँच हैं मतलब,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो तुम्हें खेलना भी क्या करना है इस वजह से तो सर से निराशा स हो रही है खेलने के लिए",तो तुम्हें खेलना भी क्या करना है इस वजह से तो सर ऐसे ही निराशा सी हो रही है खेलने के लिए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हा ठीक",हाँ ठीक है,एक तो जैसे हमारी बैस सब ब्याती है,एक तो जैसे हमारी भैंस सब आती है,एक तो जैसे हमारी बैस सब बयां होती है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
वैसे तो ईसाइयों के लिए ईस्टर अंडा खाली कबर का एक प्रतीक है",वैसे तो ईसाइयों के लिए ईस्टर अंडा खाली कब्र का एक प्रतीक है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बहुत ज़्यादा अजीब सा ना बने व थोड़ा अच्छा बने इसकी वजह से तो पानी की जो क्वांटिटी है कितनी रखनी है कितनी नहीं वो उन्होंने बताया और",खम बहुत ज़्यादा अजीब सा ना बने वो थोड़ा अच्छा बने इसकी वजह से तो पानी की जो क्वानटिटी है कितनी रखनी कितनी नहीं वो उन्होंने बताया है और,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी हमारे पास बिजली इस वक््त बीस से बाईस घंटे मिलती है",जी हमारे पास बिजली इस वक्त बीस से बाईस घंटे मिलती है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तब मेरे पिताजी ने मुझे यह सिखाया और करने को कहा और जिसे मैं कर रहा हूँ",तब मेरे पिताजी ने मुझे यह सिखाया और करने को कहा और जिसे मैं कर रहा हूँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बंद",बंद,तो जब कसाइंटिफिक लिए कहते हैं कि एक घंटे के भीतर खेस बच्चो को मिल जाना चाहिए ये बजन का एक बटा दस बाक तो उस समय क्या स्थिति रेनी चाहिए,तो जब सांटिफिकली के एक घंटे के भीतर खिस बच्चो को मिल जाना चाहिए के बजन का एक बड़ा दस भाग तो उस समे कया स्थिति रहा जानी चाहिए,"तो जब कसाइंटिफिक लिए कहते हैं कि एक घंटे के भीतर सभी बच्चों को मिल जाना चाहिए, ये वजन का एक बटा दस है, तो उस समय क्या स्थिति रहनी चाहिए?"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बीजों के या इन सब को मिक्स में करके भी अपन पशुओं को देते हैं तो बढ़िया रहता है पशुओं के लिए भी",बीजों के या इन सब को मिक्स में करके भी अपन पशुओं को देते हैं तो बढ़िया रहता हैं पशुओं के लिए भी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैम आप दिख ही नहीं रहे मुझे",मैम आप दिख ही नहीं रहे मुझे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ मैं अरविंद सिंह चौ अरविंद सिंह जाट बोल रहा हूँ मैडम मेरे को क्या है कि आपके रेस्टोरेंट में खाना खाना खाने आना है",हाँ मैं अरविंद चो अरविंद सिंह जाट बोल रहा हूं मैडम मेरे को क्या है के आपके रेस्टोरेंट में खाना खाना खाने आना है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी वो तो हम कर लेंगे लेकिन एक तो क्या है फ़िलहाल के टाइम पर अच्छी खुशबू और बाद में उसमें अच्छी खुशबूई नहीं आए और ऐसे ही गुलाब में भी आती है ना बहुत सारे कि थोड़ी देर तो अच्छी रहती है उसके बाद में इसमैल आने लग जाती है उनमें",जी वो तो हम कर लेंगे लेकिन एक तो क्या है फिलहाल के टाइम पर अच्छी खुशबू और बाद में उसमें अच्छी खुशबू ही नहीं आए और ऐसे ही गुलाब में भी आती है ना बहुत सारे कि थोड़ी देर तो अच्छी रहती है उसके बाद में स्मेल आने लग जाती है उनमें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ सर हम पहुँचवा देंगे सर मतलब कि कोई दिक्कत वाली बात नहीं है आप एक बार लिखवा दीिए सर अपना नाम बताइए सर",हाँ सर हम पहुँचवा देंगे सर मतलब की कोई दिक्कत वाली बात नहीं है आप एक बार लिखवा दीजिए सर अपना नाम बताइए सर,ोतो उसके बदरजी दूसरी चीज जैसे कि हम जानते हैं कि ग या भैस के जो बच्चे हैं,वो तो उसके बाद ख दे दूसरी चीज जैसे कि हम जानते हैं कि गाय भैस के जो बच्चे हैं,तो उसके बदले दूसरी चीज जैसे कि हम जानते हैं कि गाय या भैंस के जो बच्चे हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमारे शरीर को लचीला बनाने में मदद करते हैं पहला है हलासन",हमारे शरीर को लचीला बनाने में मदद करते हैं पहला है हलासन,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आनंद गौरी नितज अस्मा विजय",आनंद गौरी नितीश अस्मा विजय,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मोबाइल नंबर छः एक छः पाँच एक छः तीन तीन चार दो छः का उपयोग करके ई पी एफ़ ओ पोर्टल पर लॉगन करें और यू एन एन नंबर छः नौ तीन सात नौ एक आठ तीन छः तीन पाँच दो का उपयोग करके मेरे ई पी एफ ओ पासबुक स्टेटमेंट निकालें",मोबाइल नंबर छः एक छः पाँच एक छः तीन तीन चार दो छः का उपयोग करके ई पी एफ़ ओ पोर्टल पर लॉग इन करें और यू एन एन नंबर छः नौ तीन सात नौ एक आठ तीन छः तीन पाँच दो का उपयोग करके मेरे ई पी एफ़ ओ पासबुक स्टेटमेंट निकालें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पीछे",पीछे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कमीशन भी देंगे या उसी तरह से उसका व्यवस्था रखेंगे भोजन साफ़ सुथरा और स्वस्थ हो जिससे किसी को कोई शिकायत ना हो पाए क्योंकि हमने बराबर खाना आपके यहाँ से ही मंगाया है इसलिए हम आप पर पूरी तरह विश्वास करते हैं",कमीसन भी देंगे या उसी तरह से उसका व्यवस्‍था रखेंगे भोजन साफ़ सुथरा और स्‍वस्‍थ हो जि‍ससे किसी को काेई शिकायत ना हो पाए क्‍योंकि हम ने बराबर खाना आप के यहाँ से ही मंगाया है इस लिए हम आप पर पूरी तरह विश्वास करते हैं,इसकिए पेट में जो कीड़े माके पेट से आते हैं जो बर्मस जो हैं,इसके पेट में जो कीड़ेमांके पेड से आते हैं जो बर्मश जो हैं,"इसलिए पेट में जो कीड़े होते हैं, वे पेट से आते हैं, जो बर्म्स होते हैं।"
