filename,ground_truth,IC,wav2vec2,Ourmodel
0520112024_0003_chunk_017,कि अगर इन दोनों कोनों को हम इन दोनों कोनों से जोड़ दे यानी डाइग्नोली अपोजिट कोनों का अगर हम जोड़,की अगर इन दोनो कोनों को हम इन दोनो कोनों ऐसी जोड़ दे यानि डायग्नोली अपऑोजिट कोनों को अगर हम जोड़,कि अगर इन दोनों कोनों को इन दोनों कोनों से जोड़ देंयानी डाइगनोली अपोजिट कोनों का अगर हम जोरड़े,कि इन दोनों कोनों कोइन दोनों कोनों से जोड़ दें यानि डाइगडली अपोजिट ोनो क गर ह जो
0520112024_0003_chunk_019,में भी एक चीज देखी थी कि क्यूब के जो रेक्टेंगल्स थे वो वन इज टू रूट टू रेशों में थे और जो,ने भी एक चीज देखी थी की क्यूब के जो एक्टिंगलस थे वो ऑने इस सो रूट टू के रेशो में थे और जो,उनमें भी एक चीज देखी थी कि क्यूट के जो रएक्टेंगल्स के वोवनेश रोटू के रेशों में थे और जो,मेरी क चीज देखी थी क क्यूट के जो रैक्टिंगलस थे वो वने सोरोटू के रेशयो में थी और जो
0520112024_0003_chunk_021,तों अगर इन बेक्टरेंब्स को हम जोड़ देंगे सारे कोनों को तो हमें आइकोसा मिल चाए तो ये बाहर वाला स्ट्रक्चर,तो अगर इन वैक्टरंगल्स को हम जोड़ देंगे सार विकणों को तो हमें आइकोसा मिल जाएगा तो ये बाहर वाला स्टेट है,अगर इन ब्रेक्टेंब्स को हम जोड़ देंगे सार विकोनों को तो हमें आइको सा मिल जाएगा तो ये बाहरवाला स्टिट,तो अगर इंरेक्टंवस को हम जोड़ देंगे साबोो तो हमें आइकोसा मिल जाएगा तो ये बाहर वला स
0520112024_0003_chunk_022,मे आप देख पा रहे होगे कि ये बाहर हमें आइकोसा दिख रहा है और उसमें काफी इंट्रेस्टिंग प्रॉब्लम ये भी सोच सकते हैं,जिनमें आप देख पा रहे होंगे कि ये बाहर हमें आइकोसा दिख रहा है और इसमें काफ़ी इंटरेस्टिंग प्रॉब्लम ये भी सोच सकते हैं,चुने ा देख पारहे होगे कि ये बाहर हमें आइकोसा दिख राए और उसमें काफी इंटरेस्टिंग प्रॉब्लम य भी सोच सकते हैं,जमे आदेकके पारे होगी कि ये बाहर हमें आइको सरऔर उसमें काफी इंट्रेस्टिंग प्रॉब्लम येभी सोच सकते हैं
0520112024_0003_chunk_023,की अगर हमें सारे वरट्रेक्स को यानी सारे कोनों को हमें अगर कवर करना है और रास्ता आपका रिपीट नहीं,की अगर हमें इन सारे वटटैक्स को यानि सारे कोनों को हमें अगर कवर करना है और रास्ता आपका रिपिट नहीं हो,कि अगर हमें इस सारे वट्रेक्स को यानी सारे कोनों को हमें अगर कवर करना है और रास्ता आपका रिपीट नीं,ि अगर हमें ये सारे वडटैक्स को मान सारे कोनों को हमें अगर कवर करना है और रास्ता सतरपीटनीहै
0520112024_0003_chunk_024,होना चाहिए तो आप कौन सा पाथ चुनेंगे और इस प्रॉब्लम को हैमिल्टोनियन पाथ भी बोलते है,होना चाहिए तो आप कौन सा पात चुने और इस प्रॉब्लम को हेमिल्टोनियल पा,होना चाहिए तो आप कौनसा पात चुनेऔर इस प्रॉब्लम को हैमिल्टोनियन पार,हतो आप कौन सा पाच च औरइस प्रॉबलम को हट
0520112024_0003_chunk_026,और वो कैसे बनती है कि अगर हम इसकी लेंथ को वन थर्ड काट दें तो हमें जो शेप मिलेगा,और वो कैसे बनती है की अगर हम इसकी लेंथ को ऑन थर्ड काट दे तो हमें जो शेप मिलेगा,और वो कैसे बनती है कि अगर हम इसकी लैंथ को वनखड कार्ट दें तो हमें जो शेप मिलेगा,ोरो कैसे बनती है कि अगर हम इसकी लैंथ को वन थर्ड काट दें तो हमें जो शेप मिलेगा
0520112024_0003_chunk_027,वो पेंटागन मिलेगा और हेक्सागन मिलेगा,तोो पेंटागन मिलेगा और एक्जागन मिलेगा,ा वो पेंटागन मिलेगा और हेग्जा गन,वो पेंटाकर मिलेगा और हेडसाग
0520112024_0003_chunk_028,तों वो हमारी फुटबॉल होती है और जो जियोडेसिक डोंम्स बनती हैं उनका बेसिक स्ट्रक्चर भी आइकोसा हेडरन ही होता है और हमने हमारी लैब,तो वो हमारी फुटबॉल होती है और जो जियोडेसिक डॉन्स बनते है उनका बेसिक स्ट्रक्चर भी हाइकोसा हेडरनी होता है और हमने हमारी लैब,वो हमारी फुटबॉल होती हैऔर जो जियोडेसिक डॉम्स बनते हैं उनका बेसिक स्ट्रक्चर भी नाइकोसा हेडरनहीं होता है और हमने हमारी लैब,वो हमारी फडबऑटो जीडैसिक डॉनस ंे उनका बेसिक स्ट्रक्चर भी माइक्रोसा हेडरनिंग होता है और हमने हमारी लैब
0520112024_0004_chunk_003,चर्चा हम करेंगे,चर्चा हम करेंगे,चर्चा हो गईपलपले ह था,चर्चा होक
0520112024_0004_chunk_005,तों ये कागज का खूबसूरत लैम्प बनके तैयार है और ये जो बना है वो बना है हमने पहले लैम्प बनाया,तो ये कागज़ का खूबसूरत लैब बन के तैयार है और ये जो बना है वो बना है हमने एक पहले लैब बनायाे,नेनकुनेनकनफरी कागेज का खूबसूरत लैपवनके तैयार है और ये जो बना है वो बना है हमने पहले लैम बनाया,तीकागेज का ूसर लैब मंगे तैयार है और य जो बना है बना है हमने पहले लाइम बनाएै
0520112024_0004_chunk_007,भी देख सकते हैं की जैसे एनिमेशन में भी आप देख सकते हैं कि जैसे हम हमने देखा था कि,भी देख सकते हैं कि जैसे एनिमेशन में भी आप देख सकते हैं कि जैसे हम हमने देखा था कि,े भी देख सकते हैं क जैसे एनिवेशन में भी आप देख सकते हैं कि जैसे हम हमने देखा लाएगी,भी देख सकते हैं कि जैसे एनिवेशन में भी आप देख सकते हैं कि जैसे  हमने देखा ला
0520112024_0004_chunk_016,आखिर के तीन लैम्प हम अगले तीन दिनों में बनाएंगे और तब तक के लिए अपने घर को सजाते रहिए सुंदर लैम्प से,के तीन लैंप हम अगले तीन दिनों में बनाएंगे और तब तक के लिए अपने घर को सजाते रहिए इन सुंदर लैंप से,के तीन लैन हम अगले तीन दिनों में बनाएंगे और तब तक के लिए अपने घर को सजाते रहिै सुंदर लैमस,तीन लैमम अगले तीन दिनों में बनाएंगे और तब तक के लिए अपने घर को सजाते रहेे सुंदर लैब से
0520112024_0005_chunk_002,को चोरों से बचाने में काफी मददगार साबित हो सकता है,को चोरों से बचाने में काफी मददगार साबित हो सकता है,र को चोरों से बचाने में काफी मदगार साबित हो सकता है,कुछ चोडों से बचाने में काफी मददगार साबित हो सकता है
0520112024_0005_chunk_005,हैं ऐसे में अगर आपकी कार के आसपास कोई होगा तो आपको तुरंत इसका पता चल जाएगा,ऐसे में अगर आपकी कार के आसपास कोई होगा तो आपको तुरंत इसका पता चल जाएगा,हैं ऐसे में अगर आपकी कार के आसपास कोई होगा तो आपको तुरंत इसका पता चल जाएगा,ऐसे में अगर आपकी कार के आसपास कोई होगा तो आपको तुरंत इसका पता चल जाएगा
0520112024_0005_chunk_007,बाद स्टेटस पर टच करना होगा स्टेटस आपकी मोबाइल ऐप की सबसे निचले हिस्से में दिखाई देगा जैसे ही आप,बाद स्टेटस पर टच करना होगा स्टेटस आपके मोबाइल ऐप के सबसे निचले हिस्से में दिखाई देगा जैसे ही आप,े बाद स्टेटस पर ट्च करना होगा स्टेटस आपकी मोबाइल ऐप के सबसे निचले हिस्से में दिखाई देगा जैसे ही आप,कबाद स्टेटस पर टच करना होगा स्टेटस आपकी मोबाइल ऐप के सबसे निचले हिस्से में दिखाई देगा जैसे ही आ
0520112024_0005_chunk_008,स्टेटस पर टच करेंगे नया इंटेरफेस ओपन होगा,स्टेटस पर टच करेंगे नया इंटरफीस ओपन होगा,स्टेटस पर तच करेंगे नया इंटरफी सोपन होगा,स्टेटस पर टच करेंगे नया इंटरफीस ओपन होगा
0520112024_0005_chunk_009,यहां आपको सबसे ऊपर कार का स्कैच बना हुआ दिखाई देगा उसके ठीक नीचे रेंज दिखाई देगी कार में मौजूद फ्यूल,यह आपको सबसे ऊपर कार का स्कैच बना हुआ दिखाई देगा उसके ठीक नीचे रेंज दिखाई देगी कार में मौजूद फ़्यू,यहां आपको सबसे ऊपर कार का स्कैच बना हुआ दिखाई देगा उसके ठीक नीचे रेंज दिखाई देगी कार में मौजूद सीू,यहां आपको सब से ऊपर कारकस कैच बना हूआ दिखाई देगा उसके ठीक नीचे रेंज दिखाई देगी कार में मौजूद ी ह
0520112024_0005_chunk_012,यहां आपको यस कर देना है यस पर क्लिक करेंगे तो आपको एक पिन कोड डालना होगा जो आप किया कनेक्ट,यहाँ आपको यस कर देना है यस पर क्लिक करेंगे तो आपको एक पिन कोड डालना होगा जो आपके यहाँ,यहां आपको यस कर देना है यस पर क्लिक करेंगी तो आपको एक पिन को डालना होगा जो आप कि या,यहां आपको यस कर देना है यस पर क्लिक करेंगी तो आपको एक पिन कोट डालना होगा जो प
0520112024_0005_chunk_013,कनेक्ट मोबाइल एप्लिकेशन सेटअप के दौरान सिलेक्ट करते हैं पिन डालने के बाद आपकी रिक्वेस्ट सर्वर पर चली जाएगे इसके,कनेक्ट मोबाइल एप्लिकशन सेटअप के दौरान सेलेक्ट करते हैं पिन डालने के बाद आपकी रिक्वेस्ट सब पर चली जाएगी इसके,कनेक्ट मोबाइल एप्लिकेशन सेटअप के दौरान सेलेक्ट करते हैं पिन डालने के बाद आपकी रिक्वेस्ट सबर पर चली जाएगी इसकी,कनेक्ट मोबाइल एप्लीकेशन सेटअप के दौरान सलेक्ट करते हैं पिन डालने के बाद आपकी रिक्वेस्ट सब पर चली जाएगी
0520112024_0005_chunk_014,साथ ही आप की कार की सभी कैमेरा मॉड्यूल ऐक्टिव हो जाएंगे और मिलकर आसपास के इमेज तैयार करेंगे,साथ ही आपकी कार के सभी कैमरा मॉड्यूल एक्टिव हो जायेंगे और मिलकर आसपास की इमेज तैयार करेंगे,े साथ ही आप की कार की सभी कैमरा मॉडियूल एक्टिब हो जाएंगे और मिलकर आसपास की इमेज तैयार करेंगे,साथ ही आपकीगार की सभी कैमरा मॉड्यू एकटिब हो जाएंगे और मिलकर आसपास के ईमेज तैयार करेंगे
0520112024_0005_chunk_015,यह इमेज कुछ सेकेंड में ही आपके मोबाइल फोन पर देख जाएगी जिन्हे आप सेव भी कर सकते हैं अगर आपकी,यह इमेज कुछ सेकंड में ही आपके मोबाइल फ़ोन पर देख जाएगी जिन्हें आप सेव भी कर सकते हैं अगर आपकी,यह इमीज कुछ सेकेंड में ही आपके मोबाइल फोन पर देख जाएगी जिन्हें आप सेब भी कर सकते हैं अगर आपकी,यह इमेज कुछ सेकेंड में ही आपके मोबाइल फोन पर देख जाएगी जिन्हें आप सेव भी कर सकते हैं अगर आप
0520112024_0005_chunk_017,ये फीचर चोरी से बचाव में काफी मदद करेगा विडिओ को लाइक करें कमेंट करें शेयर करें और सब्सक्राइब जरूर,ये फीचर चोरी से बचाव में काफ़ी मदद करेगा वीडियो को लाइक करें कमेंट करें शेयर करें और सब्सक्राइब जरूर कर,ये फीचर चोरी से बचाओ में काफी मद करेगा वीदियो को लाइक करें कमेंट करें शेयर करें और सब्सक्राइब जरूर,ये फीचर छोड़ी से बचाव में काफी मदद करेगा वीडियो को लाइक करें कमेंट करें शेयर करें और सब्स्क्राइब जरूर
0520112024_0005_chunk_018,करें,करें,करें,करें
0520112024_0006_chunk_002,कुल दो पेट्रोल इंजन विकल्प के साथ पेश किया गया है,कुल दो पेट्रोल इंजन विकल्प के साथ पेश किया गया है,ो कुल दो पेट्रोल इंजन विकल्प के साथ पेश किया गया है,कु दो पेट्रोल इंजन विकल्प के साथ पेश किया गया है
0520112024_0006_chunk_004,कुल पांच व्हेरिएंट्स में आने वाली इस एसयूवी की बुकिंग बीते ऑटो एक्सपो के दौरान ही शुरू कर दी गई,कुल पांच वेरिएंट्स में आने वाली इस एसीूवी की बुकिंग बीते ऑटो एक्सपो के दौरान ही शुरू कर दी गई है,कुल पांच वैरिएंस में आने वाली इस एसयूबी की बुकिंग बीते ऑटो एक्सपो के दौरान ही शुरू कर दी गई,कुल पांच वैरियेंस में आने वाली इस एसीवी की बुकिंग बीते ऑटो एक्सपो के दौरान ही शुरू कर दी गई
0520112024_0006_chunk_005,थी,थी,थी,
0520112024_0006_chunk_006,मारुती फ्रॉनक्स लॉन्च देश की सबसे बड़ी कार निर्माता कंपनी मारुति सुजुकी ने आखिरकार घरेलू बाजार में अपनी सबसे,मारुति फ़्रॉन्स लॉन्चड देश की सबसे बड़ी कार निर्माता कंपनी मारुति सुज्जुकी ने आख़िरकार घरेलू बाज़ार में अपनी सबसे,मारुति फ्रॉंग्स लॉनच देश की सबसे बड़ी कारय निर्माता कंपनी मारुती सुजुकी ने आखिरकार घरेलू बाजार में अपनी सबसे,मारुती फ्रॉं्स लॉनच देश की सबसे बड़ी कार्य निर्माता कंपनी इमारुती सुजुकी ने आखिरकार घरेलू बाजार में अपनी सबसे
0520112024_0006_chunk_007,किफायती एसयूवी मारुती फ्रॉनक्स को लॉन्च कर दिया है,किफायती एसीवी मारूति फॉमस को लांच कर दिया है,े किफायती एसयूबी इमारुती फ्रॉर्म्स को लॉन्च कर दिया है,किफायती एसयूवी इमारुती फ्रॉर्म्स को लॉन्च कर दिया है
